#SPECTRUM - MS
#100ul-2-qb.raw
#FTMS + p NSI sid=50.00  Full ms2 1000.0000@hcd200.00 [1000.0000-20000.0000]
#Scan #: 1
#RT: 0.76
#Data points: 51799
#Mass	Intensity
990.012388	0.000000
990.041932	0.000000
990.071477	0.000000
990.101023	0.000000
999.804074	0.000000
999.834057	0.000000
999.864041	0.000000
999.894027	0.000000
999.924014	2.281173
999.954002	14.461802
999.983992	38.630054
1000.013983	70.642044
1000.043976	102.435799
1000.073970	126.723251
1000.103965	134.297119
1000.133961	131.055420
1000.163959	126.497253
1000.193959	129.974396
1000.223959	134.788330
1000.253961	135.150345
1000.283964	130.481613
1000.313969	132.065750
1000.343975	126.246078
1000.373982	125.023430
1000.403991	123.911446
1000.434001	118.880150
1000.464012	115.466324
1000.494025	120.408859
1000.524039	122.460152
1000.554055	128.255875
1000.584071	134.710220
1000.614090	138.890076
1000.644109	141.410980
1000.674130	147.588165
1000.704152	159.238785
1000.734176	168.272369
1000.764201	165.433441
1000.794227	148.703064
1000.824254	124.118584
1000.854283	113.656174
1000.884314	110.821014
1000.914345	112.675011
1000.944378	112.631851
1000.974413	114.680420
1001.004448	108.369240
1001.034485	104.677094
1001.064524	107.100304
1001.094564	116.012283
1001.124605	125.206413
1001.154647	125.313889
1001.184691	119.771576
1001.214736	120.236237
1001.244783	116.775230
1001.274831	115.840485
1001.304880	113.059029
1001.334930	116.117859
1001.364982	119.827431
1001.395036	126.878067
1001.425090	126.103027
1001.455146	121.033981
1001.485204	109.040909
1001.515262	106.653946
1001.545322	110.688965
1001.575384	128.716248
1001.605446	139.726685
1001.635511	145.487061
1001.665576	142.411911
1001.695643	140.106110
1001.725711	147.726791
1001.755781	154.070663
1001.785851	158.769394
1001.815924	161.253143
1001.845997	161.822479
1001.876072	150.048111
1001.906148	135.398544
1001.936226	136.324585
1001.966305	135.333511
1001.996386	135.010559
1002.026467	128.767670
1002.056550	120.738541
1002.086635	121.886230
1002.116720	138.456696
1002.146808	152.045868
1002.176896	148.732376
1002.206986	137.665375
1002.237077	123.266655
1002.267170	127.392067
1002.297264	137.662018
1002.327359	139.561768
1002.357456	132.936249
1002.387553	129.178497
1002.417653	130.044418
1002.447754	143.326950
1002.477856	146.509674
1002.507959	146.809906
1002.538064	140.377350
1002.568170	139.683197
1002.598277	135.409027
1002.628386	142.353607
1002.658496	154.700348
1002.688608	151.442657
1002.718721	139.858505
1002.748835	136.070984
1002.778951	143.119614
1002.809068	152.553726
1002.839186	167.443207
1002.869306	176.859482
1002.899427	183.545898
1002.929549	184.155472
1002.959673	184.249939
1002.989798	176.297104
1003.019924	165.624161
1003.050052	147.822632
1003.080181	140.389725
1003.110312	135.121597
1003.140444	135.097198
1003.170577	141.250092
1003.200712	142.174545
1003.230848	144.924225
1003.260985	147.088715
1003.291124	140.702133
1003.321264	130.606277
1003.351405	130.577393
1003.381548	141.169220
1003.411692	155.441498
1003.441837	158.482880
1003.471984	148.787933
1003.502132	130.880264
1003.532282	122.285019
1003.562433	124.811836
1003.592585	141.874710
1003.622739	146.848907
1003.652894	149.636444
1003.683050	153.874985
1003.713208	144.993332
1003.743367	133.647797
1003.773527	126.600136
1003.803689	123.382385
1003.833852	137.389481
1003.864017	146.035873
1003.894183	148.385818
1003.924350	142.568985
1003.954518	134.178040
1003.984688	132.059021
1004.014860	130.332855
1004.045032	125.313164
1004.075206	133.855759
1004.105382	146.372437
1004.135558	160.403732
1004.165736	167.090988
1004.195916	169.322891
1004.226097	163.413040
1004.256279	150.471069
1004.286462	133.287354
1004.316647	107.366524
1004.346834	88.745110
1004.377021	81.541458
1004.407210	87.306808
1004.437401	104.650497
1004.467592	122.497017
1004.497785	130.144440
1004.527980	123.362144
1004.558176	104.841484
1004.588373	94.193001
1004.618571	100.317909
1004.648771	115.304207
1004.678972	121.581924
1004.709175	118.877777
1004.739379	117.042717
1004.769584	115.862183
1004.799791	122.483360
1004.829999	125.382141
1004.860208	122.593437
1004.890419	116.180984
1004.920631	110.305939
1004.950845	117.342995
1004.981060	126.671730
1005.011276	127.357285
1005.041493	118.522202
1005.071712	104.911575
1005.101933	99.267342
1005.132154	106.177185
1005.162377	119.477791
1005.192602	124.646568
1005.222828	118.899689
1005.253055	121.734901
1005.283283	131.098450
1005.313513	150.898224
1005.343744	172.014313
1005.373977	179.694611
1005.404211	166.602570
1005.434446	156.165237
1005.464683	145.933197
1005.494921	140.621353
1005.525160	143.347656
1005.555401	141.685669
1005.585643	137.242554
1005.615887	131.248672
1005.646132	132.603027
1005.676378	136.910080
1005.706625	139.474625
1005.736874	136.531448
1005.767125	131.246124
1005.797376	125.123177
1005.827629	116.746796
1005.857884	119.617744
1005.888140	126.073380
1005.918397	144.524002
1005.948655	151.411926
1005.978915	144.837173
1006.009176	136.974625
1006.039439	122.352715
1006.069703	117.699966
1006.099968	119.159004
1006.130235	119.691864
1006.160503	116.174644
1006.190772	113.558365
1006.221043	111.693626
1006.251315	115.819427
1006.281589	130.967361
1006.311864	139.324097
1006.342140	146.747742
1006.372418	143.422577
1006.402697	129.630280
1006.432977	115.547165
1006.463259	112.049995
1006.493542	120.407166
1006.523826	131.645950
1006.554112	140.613251
1006.584399	131.450668
1006.614688	119.054779
1006.644978	107.048203
1006.675269	107.470383
1006.705562	122.434021
1006.735856	145.382431
1006.766151	151.325760
1006.796448	147.614746
1006.826746	149.843369
1006.857046	157.756622
1006.887347	172.095642
1006.917649	169.294235
1006.947952	158.864365
1006.978257	152.998672
1007.008564	157.873688
1007.038871	154.965851
1007.069181	146.303680
1007.099491	138.255447
1007.129803	140.203506
1007.160116	153.069214
1007.190431	168.008957
1007.220746	168.189209
1007.251064	165.141174
1007.281382	157.346207
1007.311702	149.835556
1007.342024	149.410233
1007.372347	145.485229
1007.402671	145.310516
1007.432996	144.596512
1007.463323	149.259018
1007.493651	150.358429
1007.523981	148.859619
1007.554312	137.927246
1007.584644	124.852905
1007.614978	122.439842
1007.645313	122.571800
1007.675650	124.887085
1007.705987	132.614532
1007.736327	127.351135
1007.766667	116.762863
1007.797009	111.022270
1007.827352	122.425850
1007.857697	129.345551
1007.888043	119.774590
1007.918391	104.183113
1007.948739	95.930962
1007.979090	103.462364
1008.009441	123.298546
1008.039794	139.357834
1008.070148	150.690140
1008.100504	155.746597
1008.130861	162.816360
1008.161219	169.364334
1008.191579	185.052658
1008.221940	195.880966
1008.252303	192.963562
1008.282667	171.774643
1008.313032	155.949341
1008.343398	144.679260
1008.373766	136.983963
1008.404136	137.745728
1008.434507	142.928040
1008.464879	144.517532
1008.495252	153.618942
1008.525627	158.797974
1008.556003	155.090851
1008.586381	148.911469
1008.616760	147.750839
1008.647140	137.872147
1008.677522	131.137756
1008.707905	143.275497
1008.738289	150.206284
1008.768675	144.714249
1008.799062	134.882019
1008.829451	122.883347
1008.859841	120.366570
1008.890232	128.914474
1008.920625	138.373642
1008.951019	141.367172
1008.981415	142.919067
1009.011811	139.937790
1009.042210	137.525375
1009.072609	144.431824
1009.103010	149.867859
1009.133412	153.655563
1009.163816	148.852753
1009.194221	140.912613
1009.224628	136.490555
1009.255035	136.506699
1009.285445	130.515167
1009.315855	128.284332
1009.346267	126.204536
1009.376680	129.772156
1009.407095	142.386032
1009.437511	158.178375
1009.467929	165.430054
1009.498347	152.489288
1009.528768	138.419022
1009.559189	135.417557
1009.589612	135.533737
1009.620036	142.200439
1009.650462	152.680222
1009.680889	158.105087
1009.711317	161.218430
1009.741747	157.269333
1009.772178	146.503723
1009.802611	142.406036
1009.833045	141.744476
1009.863480	134.392761
1009.893917	123.490150
1009.924355	119.753586
1009.954794	140.746384
1009.985235	158.522369
1010.015678	167.639648
1010.046121	155.441132
1010.076566	133.112396
1010.107012	117.985970
1010.137460	124.888779
1010.167909	135.466415
1010.198360	133.931564
1010.228811	130.958984
1010.259265	126.425415
1010.289719	122.577629
1010.320175	116.475624
1010.350632	116.445793
1010.381091	121.040833
1010.411551	138.715210
1010.442013	154.481857
1010.472476	163.138245
1010.502940	162.149612
1010.533405	154.167862
1010.563872	135.179733
1010.594341	124.464600
1010.624811	125.279358
1010.655282	136.528809
1010.685754	153.562180
1010.716228	157.235123
1010.746703	144.733994
1010.777180	124.704437
1010.807658	110.945457
1010.838137	105.119041
1010.868618	110.492584
1010.899100	121.710808
