SPECTRUM - MS
20191205_GroEL_Native_20191205140734.RAW
FTMS + p NSI Full ms [1000.0000-15000.0000]
Scan #: 884-1596
RT: 1.80-3.25
AV: 713
Data points: 49490
Mass	Intensity
990.007000	0.000000
990.036544	0.000000
990.066090	0.000000
990.095637	0.000000
999.798927	0.000000
999.828911	0.000000
999.858896	0.000000
999.888882	0.000000
999.918870	5.139603
999.948859	16.597496
999.978850	33.490040
1000.008842	51.300116
1000.038835	68.299580
1000.068829	76.446647
1000.098825	78.326315
1000.128823	73.432987
1000.158821	67.566531
1000.188821	59.838023
1000.218823	62.817465
1000.248825	81.170113
1000.278829	101.347942
1000.308835	105.467863
1000.338841	101.279854
1000.368850	89.044176
1000.398859	82.973978
1000.428870	86.145535
1000.458882	88.044513
1000.488895	85.148412
1000.518910	75.291570
1000.548926	67.699171
1000.578944	63.327031
1000.608963	66.290228
1000.638983	66.453097
1000.669005	58.011504
1000.699028	55.970245
1000.729052	57.753036
1000.759077	63.833709
1000.789104	66.944554
1000.819133	71.408572
1000.849163	70.878918
1000.879194	63.047031
1000.909226	58.451402
1000.939260	57.241911
1000.969295	57.388284
1000.999331	63.216764
1001.029369	63.010464
1001.059408	57.796879
1001.089449	55.207871
1001.119491	53.537056
1001.149534	54.748660
1001.179578	61.264052
1001.209624	71.396714
1001.239672	86.505221
1001.269720	97.256066
1001.299770	99.136745
1001.329822	90.187252
1001.359874	75.520945
1001.389928	62.699608
1001.419984	68.656756
1001.450040	83.561064
1001.480098	98.659547
1001.510158	105.387777
1001.540219	106.880983
1001.570281	104.084044
1001.600344	97.224296
1001.630409	90.597259
1001.660475	94.405599
1001.690543	104.755409
1001.720612	116.442021
1001.750682	117.639333
1001.780754	103.753923
1001.810827	91.520834
1001.840901	86.853503
1001.870977	91.129939
1001.901054	92.107999
1001.931132	87.850645
1001.961212	84.171024
1001.991293	78.307899
1002.021376	78.428007
1002.051459	86.833962
1002.081545	91.227624
1002.111631	87.429081
1002.141719	76.266947
1002.171808	69.085450
1002.201899	66.146171
1002.231991	73.575903
1002.262084	75.954591
1002.292179	77.683851
1002.322275	77.206820
1002.352372	77.956895
1002.382471	73.271830
1002.412571	75.054341
1002.442672	79.767494
1002.472775	81.547556
1002.502879	87.591437
1002.532985	80.358319
1002.563092	73.373316
1002.593200	74.252746
1002.623310	80.507271
1002.653421	88.758863
1002.683533	94.995269
1002.713646	95.510687
1002.743761	98.702286
1002.773878	105.391146
1002.803996	106.795094
1002.834115	96.107506
1002.864235	81.866720
1002.894357	69.115682
1002.924480	67.998029
1002.954604	75.462851
1002.984730	80.876675
1003.014858	88.401378
1003.044986	96.766952
1003.075116	101.066846
1003.105247	104.474393
1003.135380	103.885864
1003.165514	92.299191
1003.195649	82.692268
1003.225786	80.360743
1003.255924	89.330760
1003.286064	94.847746
1003.316204	97.126332
1003.346347	90.122212
1003.376490	91.287516
1003.406635	94.151828
1003.436781	90.802043
1003.466929	82.266363
1003.497078	73.108170
1003.527228	72.653578
1003.557380	86.199654
1003.587533	105.537216
1003.617687	120.232492
1003.647843	119.481386
1003.678000	102.947362
1003.708158	86.864370
1003.738318	80.066744
1003.768479	88.118307
1003.798642	94.532462
1003.828806	86.625183
1003.858971	77.540937
1003.889138	75.814681
1003.919306	92.242512
1003.949475	105.453632
1003.979646	110.302946
1004.009818	93.789502
1004.039991	73.590389
1004.070166	62.928751
1004.100342	74.132999
1004.130520	88.695347
1004.160698	95.754909
1004.190879	90.853613
1004.221060	80.835052
1004.251243	76.924143
1004.281427	78.693889
1004.311613	94.384344
1004.341800	105.268581
1004.371989	109.286866
1004.402178	101.890130
1004.432369	95.287594
1004.462562	87.112822
1004.492756	89.064994
1004.522951	90.014528
1004.553147	87.666574
1004.583345	74.944154
1004.613545	73.475785
1004.643745	72.075659
1004.673947	75.285232
1004.704151	84.390969
1004.734355	94.149681
1004.764561	106.173806
1004.794769	115.486363
1004.824978	120.658179
1004.855188	120.477738
1004.885399	116.994200
1004.915612	113.182851
1004.945826	103.601102
1004.976042	99.967030
1005.006259	96.869586
1005.036477	96.051155
1005.066697	101.169068
1005.096918	109.013345
1005.127141	109.423975
1005.157364	101.965126
1005.187590	96.686149
1005.217816	98.975249
1005.248044	102.818304
1005.278273	106.525973
1005.308504	108.125685
1005.338736	104.218635
1005.368969	98.643348
1005.399204	99.184771
1005.429440	109.353562
1005.459677	112.923311
1005.489916	104.854214
1005.520156	97.057197
1005.550398	95.822947
1005.580641	97.697032
1005.610885	106.073977
1005.641131	109.557031
1005.671378	103.482001
1005.701626	91.129236
1005.731876	82.719469
1005.762127	77.275366
1005.792379	84.975514
1005.822633	94.593249
1005.852888	95.942006
1005.883145	91.081336
1005.913403	85.948788
1005.943662	84.898082
1005.973923	87.142972
1006.004185	97.443256
1006.034448	104.327893
1006.064713	109.302848
1006.094979	108.583475
1006.125246	107.267456
1006.155515	101.871122
1006.185785	101.045849
1006.216057	105.834732
1006.246330	112.341246
1006.276604	113.031136
1006.306880	111.621220
1006.337157	116.728859
1006.367435	122.595903
1006.397715	120.122443
1006.427996	109.072541
1006.458279	94.190787
1006.488562	92.173749
1006.518848	94.022097
1006.549134	91.380639
1006.579422	85.254889
1006.609711	79.336496
1006.640002	86.426463
1006.670294	100.007805
1006.700588	117.104916
1006.730882	121.179081
1006.761179	115.479965
1006.791476	98.394523
1006.821775	93.302047
1006.852075	98.453009
1006.882377	112.314163
1006.912680	132.510747
1006.942984	143.672748
1006.973290	144.333626
1007.003597	135.706765
1007.033906	118.427069
1007.064215	106.286424
1007.094527	102.468773
1007.124839	113.560675
1007.155153	125.041677
1007.185469	124.495391
1007.215785	113.648286
1007.246103	100.411378
1007.276423	95.747670
1007.306743	99.332126
1007.337066	108.113130
1007.367389	114.426314
1007.397714	114.614396
1007.428040	109.106779
1007.458368	102.849130
1007.488697	92.287840
1007.519027	90.667080
1007.549359	97.909213
1007.579692	110.556121
1007.610027	117.434075
1007.640363	114.994675
1007.670700	103.564092
1007.701038	89.317907
1007.731378	92.518281
1007.761720	98.687233
1007.792062	109.192399
1007.822407	115.469917
1007.852752	106.106522
1007.883099	104.758971
1007.913447	105.920557
1007.943797	110.694039
1007.974147	116.843262
1008.004500	114.508034
1008.034853	98.483438
1008.065208	83.008087
1008.095565	76.318793
1008.125923	83.288149
1008.156282	93.959466
1008.186642	107.382337
1008.217004	123.630881
1008.247368	140.584484
1008.277732	149.211021
1008.308098	146.742018
1008.338466	131.824059
1008.368834	117.269732
1008.399204	107.484905
1008.429576	96.571420
1008.459949	94.445818
1008.490323	95.272970
1008.520699	95.846150
1008.551076	91.065920
1008.581454	94.102154
1008.611834	94.900475
1008.642215	90.668438
1008.672597	92.226603
1008.702981	95.368669
1008.733367	97.035730
1008.763753	94.844798
1008.794141	91.607510
1008.824530	91.922113
1008.854921	98.261039
1008.885313	106.122753
1008.915707	107.053064
1008.946102	100.834742
1008.976498	99.854483
1009.006895	103.032482
1009.037294	115.157481
1009.067695	123.458558
1009.098096	124.293626
1009.128499	124.109835
1009.158904	128.412670
1009.189310	134.115602
1009.219717	134.174352
1009.250126	124.047222
1009.280535	116.357831
1009.310947	110.569580
1009.341360	103.453642
1009.371774	105.099146
1009.402189	108.688129
1009.432606	111.857439
1009.463024	109.362956
1009.493444	108.639134
1009.523865	112.050206
1009.554287	112.723742
1009.584711	113.090258
1009.615136	114.199142
1009.645562	115.512441
1009.675990	107.128056
1009.706419	98.798423
1009.736850	94.944726
1009.767282	93.116591
1009.797715	96.748119
1009.828150	101.165433
1009.858586	109.697568
1009.889023	110.237859
1009.919462	109.544835
1009.949902	104.069261
1009.980344	95.866542
1010.010787	100.580207
1010.041231	101.923541
1010.071677	105.655389
1010.102124	105.410706
1010.132573	103.891802
1010.163022	97.967739
1010.193474	98.518547
1010.223926	95.150118
1010.254380	94.413128
1010.284836	95.929493
1010.315292	99.171170
1010.345750	97.931232
1010.376210	95.412912
1010.406671	97.342149
1010.437133	110.912891
1010.467597	124.380576
1010.498062	131.228533
1010.528528	124.169897
1010.558996	107.496581
1010.589465	94.740681
1010.619935	95.140910
1010.650407	95.497735
1010.680881	90.634320
1010.711355	84.738971
1010.741831	88.784868
1010.772309	97.030485
1010.802787	101.167244
1010.833268	96.062448
1010.863749	82.173888
1010.894232	77.374552
1010.924716	83.236356
1010.955202	96.724309
1010.985689	107.901025
1011.016177	113.941985
1011.046667	108.071028
1011.077158	94.352761
1011.107651	82.198989
1011.138145	75.969236
1011.168640	79.792661
1011.199137	76.026845
1011.229635	72.900951
1011.260135	77.714951
1011.290635	88.328873
1011.321138	98.233955
1011.351641	103.944718
1011.382146	112.162854
1011.412653	114.936490
1011.443160	123.959384
1011.473669	129.083063
1011.504180	127.705261
1011.534692	115.478017
1011.565205	108.477491
1011.595720	104.946758
1011.626236	105.916655
1011.656753	107.684671
1011.687272	104.386502
1011.717792	103.064924
1011.748314	99.130002
1011.778837	100.416357
1011.809361	98.644879
1011.839887	101.027386
1011.870414	102.482515
1011.900942	102.541266
1011.931472	104.531894
1011.962003	107.275695
1011.992536	103.947892
1012.023070	96.333948
1012.053605	84.185072
1012.084142	72.638441
1012.114680	74.885371
1012.145220	77.451997
1012.175761	78.073733
1012.206303	81.964443
1012.236847	82.619456
1012.267392	97.854905
1012.297938	117.960207
1012.328486	127.071732
1012.359035	120.141471
1012.389586	104.295530
1012.420138	84.431517
1012.450691	81.101912
1012.481246	88.686931
1012.511802	92.707122
1012.542359	92.564961
1012.572918	86.682300
1012.603478	81.658060
1012.634040	85.265028
1012.664603	83.582246
1012.695167	81.924476
1012.725733	89.019220
1012.756300	101.405663
1012.786869	118.047828
1012.817439	125.877580
1012.848010	121.265920
1012.878583	104.844742
1012.909157	96.213395
1012.939733	89.881114
1012.970309	88.601258
1013.000888	88.642529
1013.031467	90.884726
1013.062048	98.189803
1013.092631	101.105638
1013.123215	98.391401
1013.153800	94.652108
1013.184386	84.902507
1013.214974	87.767608
1013.245564	93.692056
1013.276154	97.806078
1013.306746	95.578729
1013.337340	84.477361
1013.367935	79.345067
1013.398531	79.977528
1013.429129	96.091248
1013.459728	113.086081
1013.490328	114.370805
1013.520930	112.015646
1013.551533	100.496996
1013.582138	87.838758
1013.612744	82.419106
1013.643351	89.377709
1013.673960	100.108469
1013.704570	112.488002
1013.735181	113.624464
1013.765794	111.144612
1013.796408	104.757684
1013.827024	98.118781
1013.857641	88.221602
1013.888260	91.983344
1013.918879	105.940207
1013.949501	119.197248
1013.980123	120.826543
1014.010747	109.384765
1014.041373	94.200961
1014.071999	87.212646
1014.102628	78.200580
1014.133257	76.114291
1014.163888	77.087496
1014.194520	83.661673
1014.225154	89.129271
1014.255789	88.432047
1014.286426	81.122118
1014.317063	66.693645
1014.347703	64.012112
1014.378343	72.898814
1014.408985	79.725033
1014.439629	91.622310
1014.470274	107.341020
1014.500920	116.671048
1014.531567	113.190569
1014.562216	99.730028
1014.592867	72.968337
1014.623518	60.241867
1014.654172	57.750230
1014.684826	63.934531
1014.715482	75.929462
1014.746139	87.291827
1014.776798	88.866303
1014.807458	84.666243
1014.838120	71.828467
1014.868782	57.226071
1014.899447	50.939842
1014.930112	57.342687
1014.960779	80.755350
1014.991448	97.188897
1015.022118	95.983590
1015.052789	91.171646
1015.083461	85.266213
1015.114135	74.821029
1015.144811	67.886061
1015.175488	59.988310
1015.206166	59.293427
1015.236845	74.432582
1015.267526	87.347521
1015.298209	89.375845
1015.328892	92.050870
1015.359577	91.822893
1015.390264	108.833568
1015.420952	113.732815
1015.451641	109.919621
1015.482332	99.232684
1015.513024	91.932257
1015.543717	92.599571
1015.574412	89.953564
1015.605108	83.635799
1015.635806	76.959548
1015.666505	70.756246
1015.697205	77.006918
1015.727907	81.217537
1015.758610	83.116415
1015.789315	87.881282
1015.820021	90.782676
1015.850728	100.847282
1015.881437	112.314374
1015.912147	113.454928
1015.942859	108.209531
1015.973572	94.742053
1016.004286	81.514981
1016.035002	75.001299
1016.065719	66.077180
1016.096438	59.055621
1016.127158	52.370645
1016.157879	58.909024
1016.188602	74.029840
1016.219326	91.945139
1016.250051	101.631070
1016.280778	91.886057
1016.311506	74.474369
1016.342236	66.102817
1016.372967	72.243183
1016.403699	82.183580
1016.434433	88.334508
1016.465169	90.424066
1016.495905	93.343604
1016.526643	94.254364
1016.557383	91.748668
1016.588123	89.241038
1016.618866	79.502742
1016.649609	72.252398
1016.680354	70.581074
1016.711101	78.168992
1016.741848	83.143122
1016.772598	82.260923
1016.803348	81.065331
1016.834100	79.283459
1016.864854	75.892986
1016.895608	76.659328
1016.926365	77.245964
1016.957122	72.672034
1016.987881	70.659604
1017.018641	66.163641
1017.049403	62.339998
1017.080166	68.465253
1017.110931	79.473650
1017.141697	80.780503
1017.172464	74.048479
1017.203233	69.303843
1017.234003	69.193704
1017.264774	66.600281
1017.295547	70.844223
1017.326322	75.612890
1017.357097	83.865235
1017.387874	87.102282
1017.418653	85.826469
1017.449433	79.151323
1017.480214	78.341434
1017.510997	81.811857
1017.541781	80.745019
1017.572566	70.745392
1017.603353	54.826039
1017.634142	51.697503
1017.664931	57.090925
1017.695722	74.177969
1017.726515	89.125495
1017.757309	91.860172
1017.788104	87.245729
1017.818901	79.135619
1017.849699	73.481423
1017.880498	69.249052
1017.911299	71.238615
1017.942101	69.273613
1017.972905	72.649286
1018.003710	78.914950
1018.034516	93.209052
1018.065324	97.029566
1018.096133	95.245959
1018.126944	88.027760
1018.157756	90.561570
1018.188570	101.230032
1018.219384	105.200872
1018.250201	100.693818
1018.281018	89.041116
1018.311837	75.574283
1018.342658	73.103325
1018.373480	66.725045
1018.404303	61.878183
1018.435127	56.519286
1018.465954	58.036568
1018.496781	65.966499
1018.527610	76.507828
1018.558440	74.879185
1018.589272	69.462620
1018.620105	56.920957
1018.650939	47.301134
1018.681775	42.692844
1018.712612	47.471682
1018.743451	53.302625
1018.774291	58.801557
1018.805132	65.454539
1018.835975	67.955093
1018.866819	69.127195
1018.897665	76.437242
1018.928512	80.446385
1018.959360	79.814552
1018.990210	85.681328
1019.021062	88.323223
1019.051914	94.541183
1019.082768	89.897712
1019.113624	81.331138
1019.144481	71.309885
1019.175339	66.432904
1019.206198	65.048372
1019.237059	59.680920
1019.267922	62.897184
1019.298786	63.469713
1019.329651	63.931293
1019.360518	62.119896
1019.391386	63.511699
1019.422255	65.775088
1019.453126	68.622332
1019.483998	64.253755
1019.514872	54.791357
1019.545747	49.261140
1019.576624	51.510849
1019.607501	63.441716
1019.638381	70.702393
1019.669261	74.284242
1019.700143	69.867723
1019.731027	64.268070
1019.761912	64.126349
1019.792798	71.375612
1019.823686	75.111957
1019.854575	72.408959
1019.885465	63.032307
1019.916357	50.251479
1019.947251	39.240346
1019.978145	40.836493
1020.009041	50.175525
1020.039939	64.477524
1020.070838	71.264341
1020.101738	69.693190
1020.132640	69.221847
1020.163543	67.623092
1020.194448	69.018967
1020.225354	66.496755
1020.256261	63.959444
1020.287170	61.291565
1020.318080	54.653393
1020.348991	50.209578
1020.379904	45.380991
1020.410819	48.855618
1020.441735	55.701998
1020.472652	63.288461
1020.503570	66.956493
1020.534490	68.626373
1020.565412	69.783688
1020.596335	72.234921
1020.627259	69.877514
1020.658184	64.827313
1020.689111	68.427501
1020.720040	76.213332
1020.750970	92.550785
1020.781901	102.691538
1020.812834	104.041604
1020.843768	92.989679
1020.874703	87.126703
1020.905640	77.612849
1020.936578	72.351128
1020.967518	66.075934
1020.998459	58.280543
1021.029401	57.454377
1021.060345	63.093483
1021.091291	69.799977
1021.122237	74.408582
1021.153185	79.188114
1021.184135	78.655885
1021.215086	76.185783
1021.246038	77.553845
1021.276992	82.655058
1021.307947	85.786420
1021.338904	86.215082
1021.369862	84.910621
1021.400821	75.573345
1021.431782	69.348323
1021.462744	70.268114
1021.493708	77.303467
1021.524673	81.631207
1021.555639	77.567004
1021.586607	66.638863
1021.617576	57.086666
1021.648547	59.501523
1021.679519	67.130124
1021.710492	74.023788
1021.741467	73.342068
1021.772443	71.562637
1021.803421	74.429503
1021.834400	86.171543
1021.865381	90.106940
1021.896363	87.118792
1021.927346	79.125369
1021.958331	67.337134
1021.989317	63.035434
1022.020304	68.597953
1022.051293	70.014697
1022.082284	77.685387
1022.113275	81.149217
1022.144269	78.432847
1022.175263	67.293838
1022.206259	57.307499
1022.237257	54.807784
1022.268255	58.429203
1022.299256	65.925716
1022.330257	74.351231
1022.361260	77.649417
1022.392265	73.531334
1022.423271	64.568907
1022.454278	58.227595
1022.485287	62.270871
1022.516297	73.140158
1022.547308	91.303559
1022.578321	101.754572
1022.609335	106.981680
1022.640351	107.960850
1022.671368	100.595928
1022.702387	83.764688
1022.733407	66.978742
1022.764428	62.517038
1022.795451	68.588702
1022.826475	67.894035
1022.857501	64.502442
1022.888528	55.338589
1022.919556	60.965262
1022.950586	75.635481
1022.981618	87.585212
1023.012650	85.630463
1023.043684	78.673467
1023.074720	64.421917
1023.105757	55.276376
1023.136795	57.726053
1023.167835	59.406904
1023.198876	69.187041
1023.229919	70.303893
1023.260963	67.262468
1023.292008	59.155900
1023.323055	53.698861
1023.354103	55.926656
1023.385153	63.053794
1023.416204	72.594726
1023.447256	75.551880
1023.478310	74.731508
1023.509365	62.007369
1023.540422	53.428406
1023.571480	46.443087
1023.602540	44.012986
1023.633601	55.402699
1023.664663	67.346108
1023.695727	82.020345
1023.726792	85.386359
1023.757859	81.406464
1023.788927	77.894038
1023.819996	76.844616
1023.851067	72.082728
1023.882139	69.947827
1023.913213	70.225166
1023.944288	76.690453
1023.975364	85.573287
1024.006442	86.768875
1024.037522	84.005865
1024.068602	81.274931
1024.099685	78.058771
1024.130768	71.614446
1024.161853	63.684811
1024.192939	55.057253
1024.224027	56.155083
1024.255117	55.400690
1024.286207	51.440328
1024.317299	45.794120
1024.348393	40.449617
1024.379488	47.221917
1024.410584	57.955690
1024.441682	73.043714
1024.472781	82.108670
1024.503881	81.189927
1024.534983	72.971283
1024.566087	71.450867
1024.597192	74.375115
1024.628298	77.376648
1024.659405	77.363036
1024.690515	73.778621
1024.721625	65.529807
1024.752737	64.327565
1024.783850	64.085031
1024.814965	67.775639
1024.846081	72.107876
1024.877199	74.768944
1024.908318	77.920886
1024.939438	81.816271
1024.970560	81.532408
1025.001683	82.020387
1025.032808	86.441089
1025.063934	92.393671
1025.095061	96.577358
1025.126190	90.627877
1025.157321	79.774222
1025.188452	65.059989
1025.219585	65.858880
1025.250720	75.984980
1025.281856	85.108352
1025.312993	86.169824
1025.344132	82.713827
1025.375273	76.019827
1025.406414	73.633819
1025.437557	66.167679
1025.468702	62.819831
1025.499848	62.098427
1025.530995	66.009450
1025.562144	72.791620
1025.593294	79.986526
1025.624446	85.320991
1025.655599	87.617970
1025.686753	84.778824
1025.717909	89.202355
1025.749066	100.643156
1025.780225	115.506987
1025.811385	117.287638
1025.842547	103.692508
1025.873710	86.105702
1025.904874	73.908197
1025.936040	70.830497
1025.967207	71.425567
1025.998376	74.830438
1026.029546	79.353588
1026.060717	83.858322
1026.091890	82.991256
1026.123064	75.133483
1026.154240	71.566393
1026.185417	72.453703
1026.216596	80.087173
1026.247776	86.727898
1026.278957	94.602140
1026.310140	98.967765
1026.341324	101.502766
1026.372510	95.425794
1026.403697	91.956740
1026.434886	84.709852
1026.466076	82.621999
1026.497267	83.368390
1026.528460	80.102400
1026.559654	74.927352
1026.590850	70.814930
1026.622047	66.997327
1026.653245	70.568015
1026.684445	76.199125
1026.715647	75.962394
1026.746849	74.129612
1026.778053	73.646640
1026.809259	71.663720
1026.840466	73.103429
1026.871674	74.263910
1026.902884	70.811219
1026.934096	73.144248
1026.965308	72.014185
1026.996522	71.597511
1027.027738	75.209765
1027.058955	81.558422
1027.090173	85.767531
1027.121393	83.656250
1027.152615	76.177952
1027.183837	78.098398
1027.215061	81.067848
1027.246287	92.026161
1027.277514	104.841037
1027.308742	112.564249
1027.339972	108.108030
1027.371203	94.661738
1027.402436	83.506206
1027.433670	72.189923
1027.464905	70.911326
1027.496142	74.484861
1027.527381	79.323846
1027.558620	80.445673
1027.589862	82.658242
1027.621104	82.088139
1027.652348	84.817420
1027.683594	94.513481
1027.714841	101.825789
1027.746089	103.792599
1027.777339	105.322394
1027.808590	102.025488
1027.839842	101.829995
