#SPECTRUM - MS
#30um-2-qb.raw
#FTMS + p NSI sid=50.00  Full ms2 1000.0000@hcd100.00 [1000.0000-20000.0000]
#Scan #: 1
#RT: 1.79
#Data points: 51797
#Mass	Intensity
990.012323	0.000000
990.041867	0.000000
990.071412	0.000000
990.100958	0.000000
999.804006	0.000000
999.833989	0.000000
999.863973	0.000000
999.893959	0.000000
999.923946	1.465015
999.953934	19.333536
999.983924	47.403114
1000.013915	75.624954
1000.043908	93.910545
1000.073902	93.803604
1000.103897	73.723076
1000.133893	56.490070
1000.163891	46.447495
1000.193890	42.497147
1000.223891	53.596207
1000.253893	60.838131
1000.283896	59.859852
1000.313901	48.366711
1000.343907	35.058945
1000.373914	33.159344
1000.403923	43.130844
1000.433933	52.861763
1000.463944	62.943584
1000.493957	68.612785
1000.523971	61.699440
1000.553987	52.552582
1000.584003	42.028244
1000.614021	35.395512
1000.644041	34.621738
1000.674062	42.051105
1000.704084	53.438686
1000.734107	63.638317
1000.764132	70.333939
1000.794159	70.008041
1000.824186	58.126648
1000.854215	44.085278
1000.884245	36.413269
1000.914277	40.889938
1000.944310	49.202812
1000.974344	54.756756
1001.004380	51.059330
1001.034417	40.146847
1001.064455	33.899696
1001.094495	36.422577
1001.124536	36.434944
1001.154579	40.174950
1001.184623	45.383293
1001.214668	48.845253
1001.244714	57.515423
1001.274762	60.686646
1001.304811	57.617146
1001.334862	52.994389
1001.364914	51.733433
1001.394967	48.669048
1001.425022	45.220089
1001.455078	40.264198
1001.485135	40.641087
1001.515194	39.082417
1001.545254	46.431900
1001.575315	52.770947
1001.605378	60.600559
1001.635442	67.268105
1001.665508	72.516533
1001.695574	72.853630
1001.725643	64.587746
1001.755712	46.198284
1001.785783	43.755100
1001.815855	44.346874
1001.845929	44.163860
1001.876004	40.586739
1001.906080	38.322456
1001.936158	37.471840
1001.966237	41.054951
1001.996317	53.211067
1002.026399	69.550758
1002.056482	77.030746
1002.086566	70.640152
1002.116652	56.411800
1002.146739	38.263161
1002.176828	37.631443
1002.206917	45.303947
1002.237009	57.677273
1002.267101	68.332428
1002.297195	75.322998
1002.327290	69.027504
1002.357387	54.282681
1002.387485	45.375473
1002.417584	38.017273
1002.447685	47.782799
1002.477787	58.624577
1002.507890	63.648430
1002.537995	60.342430
1002.568101	57.438690
1002.598209	57.490871
1002.628317	65.396881
1002.658428	66.560249
1002.688539	70.694534
1002.718652	72.810455
1002.748766	76.800591
1002.778882	82.871384
1002.808999	84.397430
1002.839117	87.597633
1002.869237	84.301460
1002.899358	86.470398
1002.929480	87.203491
1002.959604	85.825134
1002.989729	71.313156
1003.019855	55.147774
1003.049983	39.652393
1003.080112	43.330910
1003.110243	53.862041
1003.140375	64.844803
1003.170508	82.191628
1003.200643	88.749191
1003.230779	79.535759
1003.260916	68.798347
1003.291055	61.914520
1003.321195	63.687553
1003.351336	71.681793
1003.381479	83.256630
1003.411623	82.815804
1003.441768	82.628021
1003.471915	71.934952
1003.502063	65.478996
1003.532213	60.518661
1003.562364	51.162804
1003.592516	46.555378
1003.622670	56.223099
1003.652825	57.996323
1003.682981	55.296833
1003.713139	47.902966
1003.743298	40.580883
1003.773458	36.160744
1003.803620	43.235523
1003.833783	47.591503
1003.863948	47.865036
1003.894113	50.553207
1003.924281	48.439026
1003.954449	40.312840
1003.984619	39.749962
1004.014790	41.448925
1004.044963	37.632076
1004.075137	38.276161
1004.105312	30.460484
1004.135489	26.831549
1004.165667	25.576986
1004.195847	34.623592
1004.226028	47.159557
1004.256210	52.561104
1004.286393	47.382755
1004.316578	49.402920
1004.346764	61.039883
1004.376952	77.985931
1004.407141	82.143669
1004.437331	76.460815
1004.467523	73.031044
1004.497716	73.941994
1004.527911	69.559517
1004.558106	65.634781
1004.588303	69.065918
1004.618502	66.403336
1004.648702	72.314034
1004.678903	76.579102
1004.709106	65.705528
1004.739310	58.337688
1004.769515	55.697083
1004.799722	53.757153
1004.829930	58.899105
1004.860139	66.866623
1004.890350	77.934624
1004.920562	84.601105
1004.950775	80.937256
1004.980990	60.042740
1005.011207	41.426731
1005.041424	32.648647
1005.071643	47.382607
1005.101863	65.759659
1005.132085	72.802582
1005.162308	62.880604
1005.192532	43.650558
1005.222758	35.229687
1005.252985	33.937874
1005.283214	35.770054
1005.313444	42.754066
1005.343675	46.770760
1005.373907	45.102795
1005.404141	40.881142
1005.434377	33.057301
1005.464613	27.849920
1005.494851	38.081764
1005.525091	57.617836
1005.555332	67.150665
1005.585574	66.165466
1005.615817	53.833973
1005.646062	36.707275
1005.676308	36.147102
1005.706556	46.086090
1005.736805	60.074200
1005.767055	68.284653
1005.797307	71.445763
1005.827560	63.301525
1005.857814	58.988705
1005.888070	51.725365
1005.918327	47.485661
1005.948586	47.262688
1005.978845	50.730408
1006.009107	57.392960
1006.039369	62.278629
1006.069633	64.712494
1006.099899	64.626442
1006.130165	60.468960
1006.160433	53.317699
1006.190703	54.780766
1006.220973	46.936310
1006.251246	36.167294
1006.281519	32.888771
1006.311794	39.108376
1006.342070	49.268787
1006.372348	65.471657
1006.402627	77.266464
1006.432907	79.144768
1006.463189	77.517967
1006.493472	69.501152
1006.523757	68.664833
1006.554042	69.273224
1006.584330	72.099800
1006.614618	66.752945
1006.644908	66.760628
1006.675199	68.205627
1006.705492	73.432182
1006.735786	74.902298
1006.766081	62.497051
1006.796378	46.945805
1006.826676	45.154903
1006.856976	46.499798
1006.887277	53.888645
1006.917579	59.016624
1006.947882	51.043407
1006.978187	47.954956
1007.008494	52.565521
1007.038801	58.565269
1007.069111	65.051033
1007.099421	58.288731
1007.129733	52.146835
1007.160046	56.332977
1007.190360	57.018223
1007.220676	66.272438
1007.250994	77.456200
1007.281312	83.741135
1007.311632	84.664192
1007.341954	84.519272
1007.372277	82.735382
1007.402601	84.810226
1007.432926	76.998795
1007.463253	61.742931
1007.493581	52.321484
1007.523911	48.173557
1007.554242	54.021900
1007.584574	57.805752
1007.614908	59.615578
1007.645243	60.578266
1007.675579	60.237301
1007.705917	62.877567
1007.736256	61.536999
1007.766597	68.090919
1007.796939	71.476517
1007.827282	71.163445
1007.857627	73.304512
1007.887973	75.374771
1007.918320	72.752518
1007.948669	73.050293
1007.979019	77.218086
1008.009371	77.483856
1008.039724	78.212898
1008.070078	69.579102
1008.100434	67.562790
1008.130791	70.299400
1008.161149	67.372124
1008.191509	65.205307
1008.221870	60.859661
1008.252232	66.987022
1008.282596	77.153877
1008.312962	96.642899
1008.343328	103.488907
1008.373696	95.763336
1008.404065	70.965904
1008.434436	53.690475
1008.464808	49.869217
1008.495182	59.657368
1008.525557	64.991974
1008.555933	70.311897
1008.586310	70.075279
1008.616689	71.494972
1008.647070	70.836647
1008.677451	69.627678
1008.707835	59.155396
1008.738219	53.470222
1008.768605	46.385189
1008.798992	49.232681
1008.829381	57.953037
1008.859771	73.456757
1008.890162	91.517616
