#SPECTRUM - MS
#20190701-CL40-MTHK2-5-TRY-2.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 288-1129
#RT: 1.23-4.82
#AV: 842
#Data points: 51797
#Mass	Intensity
990.014459	0.000000
990.044003	0.000000
990.073548	0.000000
990.103094	0.000000
999.836147	0.000000
999.866132	0.000000
999.896117	0.000000
999.926105	0.000000
999.956093	3.427365
999.986083	8.872679
1000.016074	14.171895
1000.046067	16.696868
1000.076061	17.775065
1000.106056	14.930382
1000.136052	13.254820
1000.166050	11.257079
1000.196050	12.545577
1000.226050	16.044885
1000.256052	22.022284
1000.286056	23.678549
1000.316060	20.545123
1000.346066	14.513050
1000.376074	11.648975
1000.406082	11.029050
1000.436093	14.282544
1000.466104	16.565398
1000.496117	19.850291
1000.526131	22.297646
1000.556146	21.388938
1000.586163	19.912094
1000.616182	17.035946
1000.646201	15.934808
1000.676222	17.778085
1000.706244	21.747738
1000.736268	22.702376
1000.766293	21.847965
1000.796319	20.276897
1000.826347	20.770360
1000.856376	20.237739
1000.886406	19.340387
1000.916438	20.809060
1000.946471	22.799323
1000.976505	25.043601
1001.006541	26.695549
1001.036578	25.103955
1001.066617	22.640964
1001.096656	20.500345
1001.126698	20.887077
1001.156740	20.691580
1001.186784	18.976084
1001.216829	20.767683
1001.246876	22.746263
1001.276924	27.087148
1001.306973	26.789511
1001.337024	24.208332
1001.367076	21.595096
1001.397129	23.652582
1001.427184	24.266097
1001.457240	23.212908
1001.487297	19.674600
1001.517356	20.359187
1001.547416	24.852283
1001.577478	30.219802
1001.607540	31.392439
1001.637605	27.380062
1001.667670	21.273084
1001.697737	19.905262
1001.727805	17.762852
1001.757875	17.430552
1001.787946	17.705890
1001.818018	17.056597
1001.848092	19.357733
1001.878167	23.799731
1001.908243	24.512153
1001.938321	22.378520
1001.968400	19.001090
1001.998480	18.322633
1002.028562	19.915634
1002.058645	20.467487
1002.088730	21.260547
1002.118815	23.156253
1002.148903	23.008401
1002.178991	23.408915
1002.209081	23.381601
1002.239172	21.146670
1002.269265	21.940498
1002.299359	22.866877
1002.329454	23.087749
1002.359551	25.453678
1002.389649	27.343989
1002.419748	26.711148
1002.449849	24.616872
1002.479951	19.958564
1002.510055	16.076237
1002.540159	13.780494
1002.570266	15.292491
1002.600373	17.306800
1002.630482	19.756431
1002.660592	20.274295
1002.690704	18.682871
1002.720817	18.623247
1002.750931	19.657406
1002.781047	23.138181
1002.811164	27.819398
1002.841282	32.546208
1002.871402	36.556535
1002.901523	38.808424
1002.931646	36.303159
1002.961769	36.055007
1002.991894	34.231026
1003.022021	32.123928
1003.052149	28.417671
1003.082278	25.215476
1003.112409	22.263866
1003.142541	20.195590
1003.172674	19.521715
1003.202809	17.980395
1003.232945	17.477330
1003.263082	18.814593
1003.293221	21.543574
1003.323361	22.015705
1003.353502	21.452497
1003.383645	20.255605
1003.413789	20.885654
1003.443935	19.544169
1003.474082	21.761172
1003.504230	22.850761
1003.534380	22.338021
1003.564531	21.007134
1003.594683	18.222964
1003.624837	16.916358
1003.654992	19.504523
1003.685148	25.582827
1003.715306	30.818110
1003.745465	31.547112
1003.775625	27.399972
1003.805787	21.970547
1003.835950	18.237687
1003.866115	17.165861
1003.896281	16.902454
1003.926448	16.058732
1003.956617	17.305334
1003.986787	21.271313
1004.016958	25.297170
1004.047131	28.934788
1004.077305	29.893662
1004.107480	28.416617
1004.137657	26.430598
1004.167835	23.521849
1004.198015	18.826790
1004.228196	15.460988
1004.258378	13.951443
1004.288562	13.211284
1004.318747	13.587759
1004.348933	15.726844
1004.379121	15.145703
1004.409310	13.832201
1004.439500	12.717805
1004.469692	13.558523
1004.499885	19.029166
1004.530080	22.089872
1004.560275	22.507291
1004.590473	23.782335
1004.620671	24.399738
1004.650871	23.692360
1004.681072	20.170903
1004.711275	15.374950
1004.741479	11.094941
1004.771684	10.294787
1004.801891	10.812094
1004.832099	11.660895
1004.862309	12.907260
1004.892520	16.228559
1004.922732	17.406474
1004.952945	17.953308
1004.983160	19.492898
1005.013377	22.834091
1005.043594	24.231696
1005.073813	24.552494
1005.104034	24.123298
1005.134255	25.962230
1005.164478	27.215780
1005.194703	27.225344
1005.224929	25.588807
1005.255156	26.820355
1005.285384	28.024795
1005.315614	29.100443
1005.345846	29.193290
1005.376078	27.739593
1005.406312	25.953237
1005.436548	25.735120
1005.466784	24.215174
1005.497023	23.682075
1005.527262	22.822661
1005.557503	21.472768
1005.587745	20.297709
1005.617989	21.069014
1005.648233	23.502449
1005.678480	25.117883
1005.708727	23.358906
1005.738976	22.201794
1005.769227	18.324794
1005.799479	19.318494
1005.829732	22.210405
1005.859986	28.031500
1005.890242	30.067705
1005.920499	29.149842
1005.950758	23.910333
1005.981018	20.125770
1006.011279	19.958509
1006.041542	21.528940
1006.071806	21.719348
1006.102071	18.697188
1006.132338	13.146227
1006.162606	11.127881
1006.192875	13.562146
1006.223146	16.774458
1006.253419	19.197055
1006.283692	20.231271
1006.313967	19.745080
1006.344243	23.173699
1006.374521	25.011853
1006.404800	25.164837
1006.435081	25.788377
1006.465362	24.309706
1006.495646	24.403253
1006.525930	23.797709
1006.556216	24.139904
1006.586503	24.824844
1006.616792	26.450977
1006.647082	25.716094
1006.677373	23.663363
1006.707666	20.409847
1006.737960	18.315682
1006.768255	19.374982
1006.798552	23.119078
1006.828850	25.896485
1006.859150	28.118380
1006.889451	27.476895
1006.919753	26.648069
1006.950057	24.674987
1006.980362	22.430232
1007.010668	18.708562
1007.040976	17.084283
1007.071285	20.484654
1007.101596	21.695278
1007.131908	20.386845
1007.162221	22.234376
1007.192536	23.143852
1007.222852	23.433823
1007.253169	24.441413
1007.283488	23.104960
1007.313808	20.887038
1007.344129	22.177805
1007.374452	23.074722
1007.404776	24.773838
1007.435102	24.374793
1007.465429	20.800484
1007.495757	18.077701
1007.526087	16.788817
1007.556418	15.548295
1007.586750	17.467225
1007.617084	18.785268
1007.647419	20.955151
1007.677756	21.797177
1007.708093	22.968840
1007.738433	23.407296
1007.768773	22.040484
1007.799115	18.739664
1007.829459	14.637679
1007.859803	12.352152
1007.890150	12.097117
1007.920497	17.191652
1007.950846	23.631596
1007.981196	29.040179
1008.011548	29.978434
1008.041901	31.706111
1008.072255	35.153316
1008.102611	40.077226
1008.132968	43.832258
1008.163326	42.957753
1008.193686	38.016211
1008.224047	32.944710
1008.254410	27.009289
1008.284774	23.739558
1008.315139	23.266104
1008.345506	23.099262
1008.375874	23.906219
1008.406243	24.612541
1008.436614	22.753216
1008.466986	21.222527
1008.497360	23.091556
1008.527735	22.016754
1008.558111	19.772804
1008.588489	18.131161
1008.618868	16.582697
1008.649248	17.692815
1008.679630	20.207661
1008.710013	23.450901
1008.740398	23.839981
1008.770783	24.127391
1008.801171	22.799788
1008.831559	22.385123
1008.861949	21.897649
1008.892341	22.003738
1008.922733	21.654803
1008.953128	21.868471
1008.983523	23.686438
1009.013920	28.381083
1009.044318	32.616732
1009.074718	33.974123
1009.105119	31.657203
1009.135521	26.999976
1009.165925	19.658478
1009.196330	17.564434
1009.226737	18.438525
1009.257144	16.420460
1009.287554	14.363092
1009.317964	13.749573
1009.348376	15.662279
1009.378790	18.608246
1009.409204	18.707104
1009.439621	18.873092
1009.470038	21.855913
1009.500457	25.417288
1009.530877	26.723766
1009.561299	24.917399
1009.591722	21.350094
1009.622146	20.295416
1009.652572	20.974189
1009.682999	22.352958
1009.713428	22.816927
1009.743857	23.850734
1009.774289	23.107340
1009.804721	21.185703
1009.835155	20.963014
1009.865591	20.478990
1009.896027	21.747527
1009.926466	22.588935
1009.956905	22.525499
1009.987346	18.943007
1010.017788	15.889890
1010.048232	15.460538
1010.078677	17.662389
1010.109123	21.573008
1010.139571	25.387177
1010.170020	25.547123
1010.200471	26.101452
1010.230922	24.663370
1010.261376	24.141497
1010.291830	24.552172
1010.322286	23.088766
1010.352744	20.153805
1010.383203	20.103122
1010.413663	20.478116
1010.444124	21.354911
1010.474587	23.966291
1010.505051	25.598762
1010.535517	25.402870
1010.565984	25.138690
1010.596453	23.141998
1010.626922	22.449723
1010.657394	20.201172
1010.687866	20.481081
1010.718340	20.670358
1010.748815	21.430816
1010.779292	21.061622
1010.809770	20.655846
1010.840250	20.871074
1010.870730	20.962598
1010.901213	23.027334
1010.931696	23.700280
1010.962181	25.505230
1010.992667	24.941300
1011.023155	24.650594
1011.053644	22.667052
1011.084135	22.400619
1011.114627	21.777847
1011.145120	22.806293
1011.175614	22.023867
1011.206110	21.789321
1011.236608	21.999466
1011.267107	26.234621
1011.297607	30.447098
1011.328108	34.377396
1011.358611	34.908352
1011.389115	32.981473
1011.419621	28.434835
1011.450128	24.259258
1011.480636	21.078654
1011.511146	19.539312
1011.541657	21.290745
1011.572170	25.554544
1011.602684	31.084657
1011.633199	32.565967
1011.663716	28.989687
1011.694234	22.168216
1011.724754	16.335541
1011.755274	14.058493
1011.785797	16.810061
1011.816320	20.874521
1011.846845	25.630221
1011.877372	28.556460
1011.907899	27.990465
1011.938428	25.185962
1011.968959	21.009302
1011.999491	19.246988
1012.030024	17.503104
1012.060559	15.419405
1012.091095	13.453626
1012.121632	14.150352
1012.152171	16.767905
1012.182711	21.142049
1012.213253	22.694353
1012.243796	22.547315
1012.274340	19.890713
1012.304886	20.202561
1012.335433	22.751109
1012.365981	25.465018
1012.396531	25.311345
1012.427082	24.733408
1012.457635	22.386777
1012.488189	23.473874
1012.518744	22.701523
1012.549301	22.049005
1012.579859	19.274255
1012.610419	15.083240
1012.640980	11.150700
1012.671542	9.321500
1012.702106	9.468422
1012.732671	11.949605
1012.763237	14.667482
1012.793805	17.238849
1012.824374	17.482265
1012.854945	16.818566
1012.885517	14.382144
1012.916090	12.727621
1012.946665	14.961858
1012.977241	18.250254
1013.007819	21.315007
1013.038398	24.208301
1013.068978	23.972520
1013.099560	23.244110
1013.130143	21.566910
1013.160727	18.949175
1013.191313	16.800561
1013.221900	15.403102
1013.252489	18.906337
1013.283079	19.448944
1013.313670	20.951554
1013.344263	20.182837
1013.374857	19.170070
1013.405453	15.565010
1013.436050	15.681104
1013.466648	15.682718
1013.497248	17.545592
1013.527849	20.142421
1013.558451	20.878651
1013.589055	18.913547
1013.619660	16.872740
1013.650267	18.177096
1013.680875	22.647064
1013.711484	27.377468
1013.742095	29.008376
1013.772707	24.419932
1013.803321	17.734770
1013.833936	12.964415
1013.864552	14.010031
1013.895170	17.920449
1013.925789	21.863810
1013.956410	23.443208
1013.987031	25.754883
1014.017655	25.387041
1014.048279	26.209308
1014.078905	25.685993
1014.109533	23.519817
1014.140162	20.054769
1014.170792	19.861031
1014.201423	19.599159
1014.232056	20.800634
1014.262691	21.629462
1014.293327	19.368094
1014.323964	13.494182
1014.354602	10.326608
1014.385242	11.322542
1014.415883	12.361059
1014.446526	15.495941
1014.477170	18.024429
1014.507816	19.358259
1014.538463	18.049064
1014.569111	16.490292
1014.599760	15.142054
1014.630412	14.306869
1014.661064	16.872856
1014.691718	20.277940
1014.722373	24.669056
1014.753030	27.974953
1014.783687	32.392079
1014.814347	32.686459
1014.845008	31.353988
1014.875670	27.972852
1014.906333	26.143349
1014.936998	23.038110
1014.967665	20.638546
1014.998332	18.615154
1015.029001	17.379995
1015.059672	16.750008
1015.090344	17.570273
1015.121017	19.931998
1015.151692	19.399337
1015.182368	17.920789
1015.213045	16.999485
1015.243724	16.287143
1015.274404	15.977978
1015.305086	17.737202
1015.335769	17.384131
1015.366453	19.122424
1015.397139	19.198615
1015.427826	18.695750
1015.458515	16.818133
1015.489205	16.871399
1015.519896	17.596253
1015.550589	19.751503
1015.581283	19.375098
1015.611978	21.441524
1015.642675	19.396616
1015.673373	17.875746
1015.704073	14.566778
1015.734774	15.264322
1015.765477	17.895392
1015.796181	20.850185
1015.826886	20.399592
1015.857593	17.691931
1015.888301	14.363231
1015.919010	13.761313
1015.949721	18.556471
1015.980433	25.267372
1016.011147	29.419719
1016.041862	29.736027
1016.072578	27.318719
1016.103296	25.048266
1016.134015	25.100033
1016.164736	27.488842
1016.195458	28.875141
1016.226181	30.744670
1016.256906	30.326812
1016.287632	25.473173
1016.318359	19.565434
1016.349088	16.054035
1016.379819	14.866809
1016.410550	15.365395
1016.441284	19.343493
1016.472018	22.545533
1016.502754	25.302980
1016.533491	26.684120
1016.564230	25.688730
1016.594970	24.323849
1016.625712	20.479692
1016.656454	17.432174
1016.687199	18.057478
1016.717944	17.812966
1016.748691	18.987478
1016.779440	18.358164
1016.810190	16.896590
1016.840941	16.313712
1016.871694	19.184974
1016.902448	20.605747
1016.933203	23.232128
1016.963960	24.936275
1016.994718	24.177018
1017.025478	22.595612
1017.056239	19.518834
1017.087001	16.338972
1017.117765	14.710195
1017.148530	14.171744
1017.179297	14.996661
1017.210065	17.229498
1017.240834	19.842275
1017.271605	20.254488
