#SPECTRUM - MS
#40uMCDL5uM-MthK.raw
#FTMS + p NSI Full ms2 1000.0000@hcd200.00 [1000.0000-20000.0000]
#Scan #: 1
#RT: 0.02
#Data points: 51798
#Mass	Intensity
990.013695	0.000000
990.043239	0.000000
990.072784	0.000000
990.102330	0.000000
999.835373	0.000000
999.865357	0.000000
999.895343	0.000000
999.925330	0.000000
999.955318	5.770935
999.985308	12.319437
1000.015299	19.644592
1000.045292	23.155560
1000.075286	21.334522
1000.105281	18.102213
1000.135278	20.413637
1000.165275	21.134241
1000.195275	22.836004
1000.225275	26.779539
1000.255277	32.728714
1000.285281	38.435841
1000.315285	39.817265
1000.345291	37.374931
1000.375299	31.197004
1000.405307	24.655106
1000.435317	19.153971
1000.465329	19.957424
1000.495342	23.647161
1000.525356	28.223648
1000.555371	28.192482
1000.585388	27.872290
1000.615406	27.041878
1000.645426	28.855324
1000.675447	31.873867
1000.705469	32.157578
1000.735492	29.815052
1000.765517	24.348850
1000.795544	20.457520
1000.825571	17.893475
1000.855600	18.492662
1000.885630	19.623207
1000.915662	22.427168
1000.945695	25.599636
1000.975730	29.523117
1001.005765	31.336994
1001.035802	34.413506
1001.065841	32.197735
1001.095881	32.653969
1001.125922	28.285864
1001.155964	24.341002
1001.186008	22.377672
1001.216053	24.120201
1001.246100	24.016241
1001.276148	20.714367
1001.306197	13.357307
1001.336248	14.559457
1001.366300	21.180946
1001.396353	29.488537
1001.426408	30.876717
1001.456464	32.353565
1001.486521	30.033255
1001.516580	30.806522
1001.546640	30.698719
1001.576701	36.123833
1001.606764	39.362373
1001.636828	43.566105
1001.666894	37.558258
1001.696960	30.761812
1001.727029	26.411207
1001.757098	29.779062
1001.787169	30.016626
1001.817241	34.166183
1001.847315	34.750988
1001.877390	34.891972
1001.907466	36.370628
1001.937544	37.495983
1001.967623	41.768761
1001.997703	44.460052
1002.027785	40.961834
1002.057868	31.610544
1002.087953	27.352783
1002.118038	30.280167
1002.148126	39.403530
1002.178214	44.609802
1002.208304	40.269890
1002.238395	36.446590
1002.268488	34.687050
1002.298582	38.944614
1002.328677	46.108131
1002.358774	44.924461
1002.388872	37.612885
1002.418971	33.471802
1002.449072	29.547880
1002.479174	30.560972
1002.509277	31.536320
1002.539382	32.861568
1002.569488	31.705608
1002.599596	27.757887
1002.629705	24.647461
1002.659815	24.734570
1002.689926	29.422077
1002.720039	34.662773
1002.750154	33.853188
1002.780269	27.555893
1002.810386	25.119387
1002.840504	26.825962
1002.870624	32.670124
1002.900745	35.465485
1002.930868	36.750755
1002.960991	35.779057
1002.991117	33.853828
1003.021243	33.324158
1003.051371	30.724112
1003.081500	27.798592
1003.111631	25.100510
1003.141763	22.733177
1003.171896	21.365499
1003.202031	24.703642
1003.232167	26.640776
1003.262304	29.706821
1003.292443	31.125956
1003.322583	31.993530
1003.352724	30.729836
1003.382867	26.683214
1003.413011	21.129930
1003.443157	17.835081
1003.473303	19.095678
1003.503452	25.403303
1003.533601	31.513195
1003.563752	35.580254
1003.593904	43.699394
1003.624058	47.699577
1003.654213	45.127022
1003.684369	41.721504
1003.714527	37.152668
1003.744686	31.146500
1003.774847	27.389290
1003.805009	19.132242
1003.835172	13.669319
1003.865336	14.747714
1003.895502	22.325874
1003.925669	26.846777
1003.955838	27.144487
1003.986008	23.883486
1004.016179	23.452829
1004.046352	27.443878
1004.076526	41.769558
1004.106701	53.343693
1004.136878	55.071907
1004.167056	48.825764
1004.197236	39.290504
1004.227417	31.657927
1004.257599	27.724432
1004.287782	28.342051
1004.317967	29.784836
1004.348154	36.985184
1004.378341	42.231747
1004.408530	40.174953
1004.438721	34.808716
1004.468912	22.047356
1004.499105	8.803158
1004.529300	7.772616
1004.559496	16.416470
1004.589693	27.619776
1004.619891	35.879696
1004.650091	34.152084
1004.680293	26.187347
1004.710495	18.949034
1004.740699	16.851112
1004.770905	15.463394
1004.801111	18.184378
1004.831319	23.676809
1004.861529	27.418978
1004.891740	30.416510
1004.921952	33.417599
1004.952165	37.248508
1004.982380	35.793457
1005.012597	30.881512
1005.042814	25.087015
1005.073033	19.235102
1005.103253	20.689669
1005.133475	28.393669
1005.163698	34.896137
1005.193923	37.481430
1005.224148	40.054752
1005.254376	41.251499
1005.284604	43.455963
1005.314834	44.136963
1005.345065	37.766136
1005.375298	30.919716
1005.405532	24.937201
1005.435767	21.647978
1005.466004	24.396509
1005.496242	28.118040
1005.526481	31.740448
1005.556722	29.545681
1005.586964	26.788647
1005.617208	22.416439
1005.647453	20.420506
1005.677699	21.392185
1005.707947	23.896984
1005.738196	28.863445
1005.768446	30.777931
1005.798698	30.165054
1005.828951	30.216562
1005.859205	26.677107
1005.889461	23.757179
1005.919718	20.435152
1005.949977	23.022961
1005.980237	26.456635
1006.010498	27.042805
1006.040760	23.575016
1006.071024	19.030663
1006.101290	17.029562
1006.131557	28.122616
1006.161825	38.514961
1006.192094	44.372990
1006.222365	51.052090
1006.252637	48.077000
1006.282911	40.053196
1006.313186	36.395565
1006.343462	30.965225
1006.373740	24.013693
1006.404019	20.072538
1006.434299	16.455637
1006.464581	13.989532
1006.494864	12.248820
1006.525148	10.399841
1006.555434	10.330509
1006.585721	11.225517
1006.616010	13.985782
1006.646300	18.574892
1006.676591	22.100834
1006.706884	24.606035
1006.737178	26.539745
1006.767473	24.683006
1006.797770	22.066326
1006.828068	22.485834
1006.858368	27.704449
1006.888669	33.336517
1006.918971	35.606342
1006.949275	34.758816
1006.979580	28.510132
1007.009886	23.938154
1007.040194	21.278521
1007.070503	18.792629
1007.100813	21.893436
1007.131125	27.693882
1007.161439	32.518402
1007.191753	34.003895
1007.222069	31.609854
1007.252386	25.699194
1007.282705	18.208830
1007.313025	13.362069
1007.343347	13.902907
1007.373669	17.926168
1007.403994	22.120211
1007.434319	24.823067
1007.464646	22.432398
1007.494974	21.691359
1007.525304	24.407909
1007.555635	26.669512
1007.585967	28.762991
1007.616301	28.111937
1007.646636	26.715446
1007.676973	26.896416
1007.707310	26.773920
1007.737650	23.243515
1007.767990	23.745970
1007.798332	24.400190
1007.828676	25.095741
1007.859020	22.949316
1007.889366	21.355162
1007.919714	24.356226
1007.950063	29.157408
1007.980413	31.796886
1008.010764	32.001724
1008.041117	29.430464
1008.071472	28.598492
1008.101827	28.500416
1008.132184	30.954744
1008.162543	31.870123
1008.192903	33.130253
1008.223264	36.327148
1008.253626	36.097866
1008.283990	35.985626
1008.314355	38.765327
1008.344722	39.112354
1008.375090	35.306702
1008.405460	36.724117
1008.435830	40.519936
1008.466202	42.872578
1008.496576	43.642601
1008.526951	36.498894
1008.557327	28.859932
1008.587705	23.539106
1008.618084	28.662714
1008.648464	36.359409
1008.678846	38.791706
1008.709229	34.686649
1008.739613	28.565966
1008.769999	21.723841
1008.800387	17.349514
1008.830775	17.100595
1008.861165	19.129177
1008.891556	21.936255
1008.921949	23.806572
1008.952343	23.263990
1008.982739	21.875212
1009.013136	25.047121
1009.043534	26.642040
1009.073933	25.280716
1009.104334	24.029198
1009.134737	24.098997
1009.165140	24.165966
1009.195546	25.532272
1009.225952	23.710155
1009.256360	21.616598
1009.286769	18.545059
1009.317180	19.035780
1009.347592	24.243198
1009.378005	32.100983
1009.408420	36.190441
1009.438836	34.284679
1009.469253	27.930725
1009.499672	24.329294
1009.530092	24.620066
1009.560514	27.494284
1009.590937	30.709206
1009.621361	31.553869
1009.651787	32.559483
1009.682214	38.037590
1009.712642	40.430046
1009.743072	39.665207
1009.773503	39.656662
1009.803936	39.203739
1009.834370	36.123135
1009.864805	29.309034
1009.895242	23.073647
1009.925680	25.309561
1009.956120	29.898226
1009.986560	32.920544
1010.017003	36.929932
1010.047446	36.431110
1010.077891	36.327534
1010.108338	34.506126
1010.138785	30.243549
1010.169234	25.186872
1010.199685	23.143988
1010.230137	21.203480
1010.260590	21.965845
1010.291045	23.302212
1010.321501	24.429586
1010.351958	26.147018
1010.382417	24.827990
1010.412877	24.250793
1010.443338	22.927711
1010.473801	24.630945
1010.504265	24.396969
1010.534731	28.216162
1010.565198	30.821943
1010.595667	37.670177
1010.626136	38.441025
1010.656607	37.314819
1010.687080	34.306141
1010.717554	33.151058
1010.748029	33.918427
1010.778506	33.206329
1010.808984	27.893148
1010.839463	22.711372
1010.869944	17.886559
1010.900426	18.501554
1010.930910	19.022011
1010.961395	25.738958
1010.991881	32.270805
1011.022369	31.937071
1011.052858	29.546825
1011.083348	26.328022
1011.113840	23.814707
1011.144333	32.821815
1011.174828	41.564491
1011.205324	40.943058
1011.235821	34.700439
1011.266320	26.739355
1011.296820	22.998039
1011.327321	23.493811
1011.357824	22.514994
1011.388328	23.578726
1011.418834	25.881495
1011.449341	26.695448
1011.479849	28.553736
1011.510359	25.695431
1011.540870	22.657295
1011.571383	22.988457
1011.601897	24.014511
1011.632412	26.338991
1011.662929	29.009195
1011.693447	29.902502
1011.723966	30.341940
1011.754487	30.672070
1011.785009	30.170845
1011.815533	29.209869
1011.846058	31.884581
1011.876584	32.468708
1011.907112	28.807417
1011.937641	22.683975
1011.968171	16.682787
1011.998703	13.779558
1012.029236	17.660835
1012.059771	22.084623
1012.090307	28.190931
1012.120844	29.931807
1012.151383	33.020874
1012.181923	40.230808
1012.212465	46.757099
1012.243008	45.213215
1012.273552	40.856186
1012.304098	32.998264
1012.334645	30.458458
1012.365193	30.418879
1012.395743	30.740726
1012.426294	33.093365
1012.456847	37.120766
1012.487401	35.613743
1012.517956	29.443737
1012.548513	22.346029
1012.579071	20.322987
1012.609631	25.385098
1012.640192	31.628864
1012.670754	33.266140
1012.701317	29.838894
1012.731883	24.051371
1012.762449	17.519789
1012.793017	15.007932
1012.823586	17.899994
1012.854157	25.455580
1012.884729	30.983416
1012.915302	37.554993
1012.945877	39.536301
1012.976453	38.954258
1013.007030	37.634235
1013.037609	35.930588
1013.068189	32.133976
1013.098771	31.981323
1013.129354	32.214516
1013.159938	41.056282
1013.190524	43.083073
1013.221111	35.356812
1013.251700	28.588997
1013.282290	26.527500
1013.312881	28.722630
1013.343474	38.340202
1013.374068	37.492207
1013.404664	31.158289
1013.435261	21.754179
1013.465859	14.576158
1013.496459	10.571066
1013.527060	8.881804
1013.557662	10.608047
1013.588266	14.701873
1013.618871	22.649250
1013.649478	28.125715
1013.680086	28.362444
1013.710695	24.892521
1013.741306	19.373489
1013.771918	20.080521
1013.802531	24.553379
1013.833146	29.127583
1013.863763	31.467556
1013.894380	32.115440
1013.924999	30.464846
1013.955620	35.473595
1013.986242	38.213062
1014.016865	35.803051
1014.047490	36.244198
1014.078116	36.691521
1014.108743	32.142094
1014.139372	26.531134
1014.170002	19.586216
1014.200633	19.004507
1014.231266	25.954622
1014.261901	32.623524
1014.292536	33.339214
1014.323174	33.442768
1014.353812	35.207504
1014.384452	38.307808
1014.415093	35.710293
1014.445736	31.094313
1014.476380	24.916288
1014.507025	22.904036
1014.537672	27.665197
1014.568320	37.275089
1014.598970	46.256474
1014.629621	50.913120
1014.660273	51.056770
1014.690927	47.496387
1014.721582	42.106308
1014.752239	34.668968
1014.782897	31.567722
1014.813556	29.458046
1014.844217	28.611328
1014.874879	31.558863
1014.905543	36.531689
1014.936207	34.500484
1014.966874	30.191977
1014.997541	25.970148
1015.028210	30.301573
1015.058881	35.697315
1015.089553	40.581772
1015.120226	37.561970
1015.150901	32.060783
1015.181577	27.079653
1015.212254	21.979219
1015.242933	22.507942
1015.273613	26.923035
1015.304295	31.941347
1015.334978	37.954906
1015.365662	44.684204
1015.396348	48.225811
1015.427035	47.415020
1015.457723	42.700012
1015.488413	33.694817
1015.519105	24.858755
1015.549797	21.034885
1015.580491	18.115089
1015.611187	21.466122
1015.641884	24.609770
1015.672582	24.904718
1015.703282	21.731775
1015.733983	21.809814
1015.764685	19.457279
1015.795389	21.477434
1015.826094	28.620056
1015.856801	33.454697
1015.887509	33.066292
1015.918218	29.825861
1015.948929	27.438538
1015.979641	26.624905
1016.010355	30.003616
1016.041070	35.616512
1016.071786	43.521267
1016.102504	49.535263
1016.133223	57.815796
1016.163944	58.242554
1016.194666	47.610500
1016.225389	39.463928
