#SPECTRUM - MS
#Mthk+RCK-C8E4-1.RAW
#FTMS + p NSI Full ms [1000.0000-20000.0000]
#Scan #: 6399-7251
#RT: 16.07-18.14
#AV: 746
#Data points: 103562
#Mass	Intensity
990.041165	0.000000
990.055938	0.000000
990.070712	0.000000
990.085487	0.000000
999.894241	0.000000
999.909236	0.000000
999.924232	0.000000
999.939227	0.000000
999.954223	1.295418
999.969219	5.549065
999.984216	13.815876
999.999213	20.531665
1000.014210	22.329235
1000.029208	19.094952
1000.044205	13.224634
1000.059204	10.463058
1000.074202	11.425822
1000.089201	14.787933
1000.104200	20.292694
1000.119200	26.259680
1000.134200	30.769294
1000.149200	31.954251
1000.164201	29.664865
1000.179202	26.670126
1000.194203	23.650746
1000.209205	23.163881
1000.224207	24.652985
1000.239209	25.573072
1000.254212	24.152906
1000.269215	22.122212
1000.284218	20.525752
1000.299222	19.926035
1000.314226	23.537942
1000.329230	25.416694
1000.344235	22.808777
1000.359240	21.853562
1000.374245	22.251692
1000.389251	20.092419
1000.404257	19.793518
1000.419263	17.814728
1000.434270	13.591295
1000.449277	11.173339
1000.464284	11.103869
1000.479292	12.407306
1000.494300	15.269445
1000.509308	16.559818
1000.524317	19.861642
1000.539326	22.478204
1000.554335	24.275278
1000.569345	23.347049
1000.584355	19.297742
1000.599366	15.988731
1000.614376	15.023104
1000.629388	14.159988
1000.644399	13.904341
1000.659411	13.211406
1000.674423	11.307538
1000.689435	12.565326
1000.704448	13.473292
1000.719461	14.465599
1000.734475	16.820777
1000.749488	20.993237
1000.764502	23.167790
1000.779517	23.673041
1000.794532	19.515326
1000.809547	16.222233
1000.824562	13.245014
1000.839578	14.181187
1000.854594	17.067820
1000.869611	21.123064
1000.884628	23.713978
1000.899645	20.386841
1000.914662	17.529949
1000.929680	17.009426
1000.944698	21.414101
1000.959717	21.370485
1000.974736	20.596809
1000.989755	20.595096
1001.004774	18.449962
1001.019794	17.406874
1001.034815	17.657924
1001.049835	18.158598
1001.064856	22.768556
1001.079877	26.228289
1001.094899	24.385894
1001.109921	19.464372
1001.124943	14.359435
1001.139965	14.199202
1001.154988	14.330901
1001.170012	16.212435
1001.185035	18.399956
1001.200059	17.722504
1001.215083	17.415565
1001.230108	16.967631
1001.245133	14.674461
1001.260158	13.703600
1001.275184	13.443328
1001.290210	13.518961
1001.305236	15.322273
1001.320263	16.099869
1001.335290	15.713860
1001.350317	14.614095
1001.365345	14.707637
1001.380373	16.259714
1001.395401	18.008560
1001.410430	19.022686
1001.425459	18.346343
1001.440488	16.694202
1001.455518	14.671609
1001.470548	16.335572
1001.485578	19.475625
1001.500609	25.849241
1001.515640	30.715493
1001.530671	33.355116
1001.545703	31.945824
1001.560735	29.357835
1001.575767	23.049760
1001.590800	17.030936
1001.605833	15.056323
1001.620866	16.327393
1001.635900	18.860874
1001.650934	18.758777
1001.665969	17.822918
1001.681003	16.815797
1001.696039	15.551881
1001.711074	14.535397
1001.726110	14.478701
1001.741146	16.203807
1001.756182	15.610440
1001.771219	15.040737
1001.786256	13.456664
1001.801294	12.322610
1001.816331	12.649920
1001.831370	14.352729
1001.846408	18.637044
1001.861447	23.363714
1001.876486	23.928340
1001.891526	21.362582
1001.906565	15.027508
1001.921606	10.024695
1001.936646	8.029536
1001.951687	8.741806
1001.966728	8.639560
1001.981770	8.574295
1001.996811	7.632403
1002.011854	7.661200
1002.026896	10.734130
1002.041939	13.087461
1002.056982	15.343260
1002.072026	15.186676
1002.087070	14.242893
1002.102114	14.328210
1002.117159	15.212650
1002.132203	17.921769
1002.147249	19.647332
1002.162294	19.099977
1002.177340	17.209726
1002.192387	15.401068
1002.207433	15.343217
1002.222480	19.385240
1002.237527	21.915642
1002.252575	23.665286
1002.267623	23.107175
1002.282671	21.375375
1002.297720	22.151771
1002.312769	22.791970
1002.327818	22.423083
1002.342868	24.955470
1002.357918	26.232577
1002.372968	26.790376
1002.388019	28.203497
1002.403070	25.859929
1002.418121	20.610878
1002.433173	14.268996
1002.448225	12.127811
1002.463277	12.769006
1002.478330	14.338776
1002.493383	15.503162
1002.508436	16.311079
1002.523490	14.645291
1002.538544	12.400478
1002.553599	14.063715
1002.568653	14.363095
1002.583709	15.987748
1002.598764	17.602115
1002.613820	18.773922
1002.628876	18.620970
1002.643932	15.362982
1002.658989	11.460389
1002.674046	10.207686
1002.689104	10.405979
1002.704161	13.687093
1002.719220	15.755240
1002.734278	17.620683
