#SPECTRUM - MS
#20190701-POPE-20uM-MTHK-5uM-1.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1579-2281
#RT: 6.71-9.71
#AV: 703
#Data points: 51799
#Mass	Intensity
990.014421	0.000000
990.043965	0.000000
990.073510	0.000000
990.103056	0.000000
999.836108	0.000000
999.866092	0.000000
999.896078	0.000000
999.926065	0.000000
999.956054	1.619371
999.986044	4.017457
1000.016035	5.923047
1000.046027	9.873621
1000.076021	15.881605
1000.106017	23.106191
1000.136013	30.053937
1000.166011	32.824306
1000.196010	32.644398
1000.226011	31.425926
1000.256013	27.886634
1000.286016	24.665739
1000.316021	22.146114
1000.346027	18.370419
1000.376035	16.883958
1000.406043	18.122335
1000.436053	16.888450
1000.466065	14.903239
1000.496078	14.218305
1000.526092	11.319213
1000.556107	9.720232
1000.586124	11.802233
1000.616142	15.167295
1000.646162	18.465434
1000.676183	21.626140
1000.706205	21.788519
1000.736229	19.518919
1000.766253	18.200784
1000.796280	20.698471
1000.826307	22.363359
1000.856336	21.669857
1000.886367	17.984803
1000.916398	17.793438
1000.946432	21.621635
1000.976466	28.391006
1001.006502	31.643925
1001.036539	31.353974
1001.066577	28.430390
1001.096617	24.953764
1001.126658	25.299996
1001.156701	26.068725
1001.186745	24.614374
1001.216790	23.083695
1001.246836	20.457755
1001.276884	19.465390
1001.306934	19.579148
1001.336984	21.901809
1001.367036	21.858106
1001.397090	19.357496
1001.427144	21.184363
1001.457200	26.545772
1001.487258	29.374500
1001.517317	25.897191
1001.547377	22.601174
1001.577438	21.000041
1001.607501	23.002425
1001.637565	25.473953
1001.667631	27.047646
1001.697698	24.548945
1001.727766	24.402693
1001.757835	24.728463
1001.787906	25.391002
1001.817979	23.046858
1001.848052	22.687309
1001.878127	23.179872
1001.908204	24.623149
1001.938281	25.386104
1001.968360	25.843396
1001.998441	27.259302
1002.028523	27.882850
1002.058606	29.919432
1002.088690	30.255288
1002.118776	29.147846
1002.148863	29.660829
1002.178952	28.295837
1002.209042	26.220023
1002.239133	26.674337
1002.269225	25.993171
1002.299319	23.873217
1002.329415	24.218550
1002.359511	24.549801
1002.389609	24.374155
1002.419709	22.405510
1002.449810	20.858563
1002.479912	19.889333
1002.510015	24.165369
1002.540120	26.816987
1002.570226	26.735407
1002.600334	25.040671
1002.630443	22.068906
1002.660553	20.501040
1002.690664	20.801764
1002.720777	21.157471
1002.750892	21.526173
1002.781007	22.741421
1002.811124	24.603337
1002.841243	29.631063
1002.871362	37.901030
1002.901484	48.656658
1002.931606	49.090031
1002.961730	43.202012
1002.991855	33.538500
1003.021981	29.394456
1003.052109	26.076450
1003.082239	28.088152
1003.112369	25.463927
1003.142501	20.848669
1003.172634	17.984697
1003.202769	23.821355
1003.232905	31.782263
1003.263042	33.390323
1003.293181	30.167465
1003.323321	23.281535
1003.353463	24.662179
1003.383606	28.229091
1003.413750	30.384214
1003.443895	26.830538
1003.474042	20.945370
1003.504190	17.590868
1003.534340	21.506056
1003.564491	29.519475
1003.594643	37.217975
1003.624797	38.393959
1003.654952	32.609482
1003.685108	26.408423
1003.715266	25.572778
1003.745425	29.579461
1003.775586	37.407918
1003.805748	43.643105
1003.835911	41.370765
1003.866075	34.168479
1003.896241	24.295160
1003.926409	18.427677
1003.956577	22.921305
1003.986747	28.395836
1004.016919	29.228936
1004.047091	30.525005
1004.077265	28.928670
1004.107441	28.926506
1004.137618	31.635774
1004.167796	33.178401
1004.197975	32.628343
1004.228156	30.689744
1004.258338	26.549804
1004.288522	23.603694
1004.318707	22.101923
1004.348893	24.630839
1004.379081	29.845282
1004.409270	31.899437
1004.439460	27.926898
1004.469652	22.093193
1004.499845	18.093156
1004.530040	15.838393
1004.560236	14.771885
1004.590433	13.780800
1004.620631	14.613942
1004.650831	19.346374
1004.681033	27.077068
1004.711235	29.768409
1004.741439	29.419079
1004.771645	27.247402
