#SPECTRUM - MS
#190912-mthk-5um-40um-popg-try3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 474-936
#RT: 2.11-4.17
#AV: 463
#Data points: 51798
#Mass	Intensity
990.010594	0.000000
990.040140	0.000000
990.069686	0.000000
990.099235	0.000000
999.802933	0.000000
999.832918	0.000000
999.862904	0.000000
999.892892	0.000000
999.922881	2.354452
999.952871	8.316690
999.982863	19.487208
1000.012856	28.349914
1000.042851	33.770885
1000.072847	33.483322
1000.102844	31.786901
1000.132842	27.430640
1000.162842	21.713289
1000.192844	15.744838
1000.222846	13.516730
1000.252850	17.271322
1000.282855	21.625913
1000.312862	23.362324
1000.342870	22.071378
1000.372879	19.687890
1000.402890	17.723277
1000.432902	17.150083
1000.462916	17.502012
1000.492930	15.176686
1000.522946	12.487192
1000.552964	10.520302
1000.582983	11.192263
1000.613003	17.383586
1000.643024	24.624142
1000.673047	27.071226
1000.703071	25.348852
1000.733097	20.190204
1000.763124	16.352946
1000.793152	17.381647
1000.823182	19.995674
1000.853213	22.892877
1000.883245	22.988890
1000.913279	20.360906
1000.943314	19.824678
1000.973350	23.145228
1001.003388	25.575322
1001.033427	27.172949
1001.063467	23.019522
1001.093509	17.686147
1001.123552	19.541464
1001.153597	25.552787
1001.183643	30.352230
1001.213690	31.592117
1001.243738	25.964467
1001.273788	25.090915
1001.303840	27.532378
1001.333892	29.543262
1001.363946	28.351222
1001.394001	23.862634
1001.424058	20.562901
1001.454116	20.402720
1001.484175	21.881749
1001.514236	23.235974
1001.544298	24.734002
1001.574362	25.030117
1001.604427	26.809723
1001.634493	25.888914
1001.664560	22.209510
1001.694629	19.853379
1001.724699	17.606262
1001.754771	15.762609
1001.784844	17.382859
1001.814918	23.500972
1001.844994	27.152189
1001.875070	28.708596
1001.905149	24.828697
1001.935228	21.784117
1001.965310	19.539227
1001.995392	16.937039
1002.025476	15.912076
1002.055561	15.172376
1002.085647	14.388708
1002.115735	17.067041
1002.145824	15.810384
1002.175915	13.162292
1002.206007	11.799729
1002.236100	10.755946
1002.266194	9.646084
1002.296290	10.255713
1002.326388	12.141840
1002.356486	15.189662
1002.386586	17.944511
1002.416688	19.349569
1002.446790	19.874155
1002.476894	20.084480
1002.507000	23.517225
1002.537107	23.604465
1002.567215	24.214578
1002.597324	26.365571
1002.627435	30.176360
1002.657547	43.007118
1002.687661	57.123789
1002.717776	71.780307
1002.747892	82.706638
1002.778010	84.127711
1002.808129	71.868063
1002.838249	52.546379
1002.868371	32.817117
1002.898494	21.179451
1002.928618	21.709911
1002.958744	25.604239
1002.988871	27.883213
1003.019000	29.274635
1003.049130	31.639957
1003.079261	33.157246
1003.109393	33.498940
1003.139527	31.370868
1003.169663	26.199558
1003.199799	22.136228
1003.229937	20.299985
1003.260077	20.085483
1003.290217	19.817561
1003.320359	21.765592
1003.350503	21.032960
1003.380648	21.301524
1003.410794	21.003789
1003.440941	18.263631
1003.471090	13.194245
1003.501240	9.769000
1003.531392	10.720345
1003.561545	15.344568
1003.591699	17.414241
1003.621855	17.619944
1003.652012	15.496156
1003.682170	11.305329
1003.712330	11.030342
1003.742491	13.357396
1003.772654	14.569272
1003.802817	15.705786
1003.832983	15.117707
1003.863149	15.111877
1003.893317	16.543298
1003.923486	17.765403
1003.953657	18.962090
1003.983829	21.067767
1004.014002	24.430162
1004.044177	29.509089
1004.074353	32.334124
1004.104530	30.045938
1004.134709	24.747058
1004.164889	16.943562
1004.195071	15.311727
1004.225254	19.954415
1004.255438	22.543401
1004.285624	25.352054
1004.315811	27.618968
1004.345999	30.586648
1004.376188	30.770798
1004.406380	31.317702
1004.436572	27.178745
1004.466766	27.789694
1004.496961	30.588330
1004.527157	29.809366
1004.557355	24.425263
1004.587554	22.336749
1004.617755	17.224965
1004.647957	15.925781
1004.678160	16.433332
1004.708365	17.116243
1004.738571	16.936801
1004.768778	14.750923
1004.798987	9.528542
1004.829197	7.822253
1004.859408	7.956332
1004.889621	8.590920
1004.919835	9.618653
1004.950051	12.260729
1004.980268	16.738845
1005.010486	23.801941
1005.040706	26.455160
1005.070927	27.448575
1005.101149	23.539659
1005.131373	22.563533
1005.161598	23.162558
1005.191824	24.565171
1005.222052	22.278170
1005.252281	20.899897
1005.282512	19.858899
1005.312744	23.743903
1005.342977	26.716352
1005.373212	24.404799
1005.403448	21.056917
1005.433685	18.626514
1005.463924	15.949277
1005.494164	16.959795
1005.524405	18.743238
1005.554648	18.214860
1005.584892	14.666530
1005.615138	10.078305
1005.645385	12.074997
1005.675633	15.612158
1005.705883	20.390931
1005.736134	22.577590
1005.766386	21.320099
1005.796640	18.969009
1005.826895	19.592458
1005.857151	15.341179
1005.887409	12.295944
1005.917668	14.582527
1005.947929	15.600055
1005.978191	20.596859
1006.008454	23.897950
1006.038719	26.308980
1006.068985	25.727718
1006.099252	23.722030
1006.129521	21.860651
1006.159791	18.638449
1006.190063	15.944234
1006.220335	12.118358
1006.250610	10.843409
1006.280885	13.790539
1006.311162	19.359896
1006.341441	23.790930
1006.371720	24.383661
1006.402001	24.250594
1006.432284	24.259196
1006.462567	23.589931
1006.492853	22.247416
1006.523139	20.837737
1006.553427	17.982962
1006.583716	13.217810
1006.614007	13.135989
1006.644299	13.958458
1006.674592	15.713064
1006.704887	16.399592
1006.735183	14.588157
1006.765480	13.167367
1006.795779	13.845365
1006.826080	14.498339
1006.856381	15.107367
1006.886684	16.610910
1006.916988	16.806910
1006.947294	16.864436
1006.977601	18.025039
1007.007909	18.448930
1007.038219	17.363578
1007.068530	15.393883
1007.098843	12.275173
1007.129157	11.407687
1007.159472	11.960199
1007.189789	15.598463
1007.220107	21.453853
1007.250426	24.986210
1007.280747	26.711083
1007.311069	27.110261
1007.341392	28.454687
1007.371717	26.837609
1007.402043	21.692783
1007.432371	14.164528
1007.462700	11.694600
1007.493030	15.607198
1007.523362	25.593426
1007.553695	33.064336
1007.584029	33.485043
1007.614365	27.388079
1007.644702	17.730744
1007.675041	11.443959
1007.705380	8.277703
1007.735722	8.303442
1007.766064	13.092656
1007.796408	17.211967
1007.826754	20.009216
1007.857101	20.994109
1007.887449	20.505768
1007.917798	17.883160
1007.948149	16.636348
1007.978501	14.876709
1008.008855	15.795953
1008.039210	18.004196
1008.069566	23.707705
1008.099924	26.665424
1008.130283	25.382323
1008.160643	22.369628
1008.191005	18.738814
1008.221368	15.285642
1008.251733	12.372798
1008.282099	10.535561
1008.312466	11.459699
1008.342835	11.767176
1008.373205	12.517563
1008.403576	13.718705
1008.433949	14.164811
1008.464323	14.811318
1008.494699	17.133961
1008.525076	18.607966
1008.555454	19.247617
1008.585834	20.486171
1008.616215	19.758915
1008.646597	21.630339
1008.676981	25.616314
1008.707366	28.984993
1008.737753	27.832880
1008.768141	20.962708
1008.798530	16.578283
1008.828921	17.047921
1008.859313	20.486896
1008.889706	22.025542
1008.920101	23.260607
1008.950497	21.664834
1008.980894	21.344111
1009.011293	22.309450
1009.041694	23.628633
1009.072095	21.124295
1009.102498	17.418970
1009.132903	14.595313
1009.163308	14.263739
1009.193716	16.711813
1009.224124	20.488063
1009.254534	19.390407
1009.284945	18.446941
1009.315358	19.351926
1009.345772	21.126840
1009.376187	21.492809
1009.406604	24.065172
1009.437022	23.443853
1009.467442	21.555669
1009.497862	21.320076
1009.528285	19.244602
1009.558708	17.887896
1009.589133	15.945676
1009.619560	11.975762
1009.649988	10.433489
1009.680417	12.714970
1009.710847	19.966654
1009.741279	24.955902
1009.771712	30.182703
1009.802147	31.139722
1009.832583	27.471702
1009.863020	21.556823
1009.893459	17.825361
1009.923899	15.283718
1009.954341	17.758544
1009.984784	20.494233
1010.015228	22.427548
1010.045674	22.779363
1010.076121	25.426615
1010.106569	27.388513
1010.137019	27.527326
1010.167470	27.330068
1010.197922	25.716580
1010.228376	28.138065
1010.258832	30.309874
1010.289288	30.751358
1010.319746	29.157890
1010.350206	27.557558
1010.380667	25.467153
1010.411129	22.003273
1010.441592	17.495848
1010.472057	13.747251
1010.502524	11.120500
1010.532991	14.454118
1010.563460	17.804449
1010.593931	22.054287
1010.624403	25.997169
1010.654876	27.520506
1010.685350	24.744206
1010.715826	22.839272
1010.746304	25.413072
1010.776782	26.845274
1010.807262	26.121987
1010.837744	27.827667
1010.868227	30.441149
1010.898711	34.977551
1010.929197	35.285804
1010.959684	30.356601
1010.990172	22.778468
1011.020662	17.568922
1011.051153	17.081172
1011.081645	20.956086
1011.112139	21.202672
1011.142634	19.999946
1011.173131	16.684796
1011.203629	16.605071
1011.234128	22.443815
1011.264629	28.043342
1011.295131	28.112958
1011.325635	22.699753
1011.356140	16.210159
1011.386646	12.478672
1011.417154	14.533610
1011.447663	20.357440
1011.478173	23.371793
1011.508685	22.811569
1011.539198	21.115077
1011.569713	21.365401
1011.600229	23.151257
1011.630746	33.392984
1011.661265	40.928971
1011.691785	40.152621
1011.722307	34.858674
1011.752829	28.908142
1011.783354	22.470545
1011.813879	16.818370
1011.844406	14.851126
1011.874935	13.789242
1011.905464	12.527565
1011.935996	10.936603
1011.966528	9.191290
1011.997062	8.358329
1012.027597	10.891695
1012.058134	15.777301
1012.088672	16.590723
1012.119212	13.206625
1012.149752	8.068630
1012.180295	4.645800
1012.210838	6.861403
1012.241383	9.866646
1012.271930	13.562081
1012.302477	14.874158
1012.333026	14.210276
1012.363577	15.084539
1012.394129	16.345356
1012.424682	16.853758
1012.455237	18.200368
1012.485793	19.383035
1012.516350	19.823464
1012.546909	21.418636
1012.577469	22.003406
1012.608031	22.299701
1012.638594	22.623491
1012.669158	22.303397
1012.699724	21.086537
1012.730291	20.383054
1012.760859	18.769656
1012.791429	19.318255
1012.822001	19.539395
1012.852573	18.384535
1012.883147	14.899081
1012.913723	13.505203
1012.944299	18.248361
1012.974878	28.761415
1013.005457	35.071817
1013.036038	32.068317
1013.066621	25.790286
1013.097204	23.781702
1013.127789	31.588475
1013.158376	38.483685
1013.188964	37.087373
1013.219553	29.021771
1013.250144	22.329830
1013.280736	20.673013
1013.311329	25.764705
1013.341924	26.671339
1013.372520	24.333844
1013.403118	20.788268
1013.433717	15.179870
1013.464317	9.783470
1013.494919	11.191391
1013.525522	14.338501
1013.556126	18.933878
1013.586732	23.615691
1013.617340	28.496462
1013.647948	30.375187
1013.678558	29.068074
1013.709170	24.605940
1013.739782	19.567468
1013.770397	20.615356
1013.801012	24.071470
1013.831629	22.795862
1013.862248	21.160759
1013.892867	17.189862
1013.923489	17.073474
1013.954111	20.175102
1013.984735	23.438285
1014.015360	25.288884
1014.045987	24.417802
1014.076615	19.720457
1014.107245	15.617999
1014.137875	16.788912
1014.168508	18.808111
1014.199141	19.117962
1014.229776	21.641966
1014.260413	22.386292
1014.291051	24.907414
1014.321690	26.525746
1014.352330	28.028121
1014.382972	27.693563
1014.413616	31.088678
1014.444260	28.959882
1014.474907	25.122692
1014.505554	20.453668
1014.536203	18.995277
1014.566853	24.331001
1014.597505	30.488709
1014.628158	31.619855
1014.658812	27.164821
1014.689468	21.747507
1014.720126	16.184788
1014.750784	16.448163
1014.781444	16.210157
1014.812106	13.833563
1014.842768	12.132879
1014.873433	9.883277
1014.904098	8.910561
1014.934765	12.407371
1014.965434	20.133650
1014.996103	22.550525
1015.026774	23.751417
1015.057447	22.787908
1015.088121	19.820791
1015.118796	18.287348
1015.149473	16.829510
1015.180151	12.551546
1015.210830	12.861643
1015.241511	15.078268
1015.272194	14.369372
1015.302877	11.926342
1015.333562	11.875681
1015.364249	13.325048
1015.394937	13.837692
1015.425626	12.708083
1015.456316	9.871734
1015.487008	9.689764
1015.517702	10.882559
1015.548397	14.198136
1015.579093	17.421735
1015.609790	18.413174
1015.640489	15.878689
1015.671190	14.402346
1015.701891	15.805036
1015.732594	16.514066
1015.763299	16.597664
1015.794005	15.117701
1015.824712	16.283548
1015.855421	19.397365
1015.886131	24.348585
1015.916843	28.331408
1015.947555	26.549412
1015.978270	20.389040
1016.008985	15.041892
1016.039702	16.348028
1016.070421	21.989163
1016.101141	29.617397
1016.131862	32.906657
1016.162585	31.173303
