SPECTRUM - MS
20200827_GroEL Dan_off_0_150.RAW
FTMS + p NSI Full ms2 1000.0000@hcd150.00 [2000.0000-30000.0000]
Scan #: 113-216
RT: 0.19-0.35
AV: 104
Data points: 34944
Mass	Intensity
1979.984377	0.000000
1980.067943	0.000000
1980.151514	0.000000
1980.235091	0.000000
1999.514373	0.000000
1999.599179	0.000000
1999.683989	0.000000
1999.768806	0.000000
1999.853627	16.827036
1999.938454	71.680896
2000.023287	100.719763
2000.108125	112.587865
2000.192968	120.315182
2000.277816	139.030872
2000.362670	163.102682
2000.447530	178.549555
2000.532395	181.722280
2000.617265	178.326095
2000.702141	170.667773
2000.787022	132.608882
2000.871908	85.573162
2000.956800	48.845801
2001.041697	22.691973
2001.126600	0.024431
2001.211508	31.863556
2001.296421	103.930917
2001.381340	180.502278
2001.466264	196.189576
2001.551194	152.592158
2001.636129	96.703138
2001.721070	69.020404
2001.806015	85.157711
2001.890967	138.399467
2001.975923	209.944508
2002.060885	225.021508
2002.145853	186.749894
2002.230826	145.334464
2002.315804	89.087357
2002.400788	52.410670
2002.485777	45.986207
2002.570772	24.951056
2002.655772	30.680801
2002.740777	86.981491
2002.825788	130.143524
2002.910804	147.211572
2002.995826	151.201146
2003.080853	136.911808
2003.165885	99.015064
2003.250923	117.190902
2003.335966	182.275903
2003.421015	267.268299
2003.506069	307.053972
2003.591129	262.087865
2003.676194	159.966351
2003.761264	116.357497
2003.846340	95.138138
2003.931421	143.636866
2004.016508	183.596340
2004.101600	179.116986
2004.186697	183.086725
2004.271800	163.762903
2004.356908	131.644709
2004.442022	102.702866
2004.527141	131.578090
2004.612266	143.174172
2004.697396	151.276188
2004.782531	120.067328
2004.867672	67.020576
2004.952818	24.714721
2005.037970	32.840168
2005.123127	51.572574
2005.208289	55.619179
2005.293457	43.637864
2005.378631	24.354940
2005.463810	0.040976
2005.548994	0.000000
2005.634184	0.000000
2005.719379	19.173796
2005.804579	32.602198
2005.889785	36.456401
2005.974996	88.454958
2006.060213	114.783873
2006.145435	154.516714
2006.230663	187.928848
2006.315896	175.627889
2006.401135	135.950402
2006.486379	104.620182
2006.571628	54.864017
2006.656883	32.521859
2006.742143	13.518586
2006.827409	0.027963
2006.912680	0.000000
2006.997957	0.000000
2007.083239	0.000000
2007.168526	0.000000
2007.253819	0.000000
2007.339117	0.000000
2007.424421	0.000000
2007.509730	38.511186
2007.595045	75.226906
2007.680365	125.503474
2007.765690	138.982418
2007.851021	118.077328
2007.936358	104.867764
2008.021700	154.897762
2008.107047	208.452587
2008.192400	261.864332
2008.277758	245.401717
2008.363121	194.474835
2008.448490	112.145189
2008.533865	72.344536
2008.619245	95.702797
2008.704630	107.015418
2008.790021	133.067021
2008.875417	162.884667
2008.960819	157.201908
2009.046226	109.075309
2009.131639	70.721805
2009.217057	35.663026
2009.302480	74.049318
2009.387909	107.017834
2009.473343	130.266198
2009.558783	164.310201
2009.644228	173.938139
2009.729679	172.231647
2009.815135	175.850175
2009.900597	128.798825
2009.986064	147.341757
2010.071537	158.092143
2010.157015	201.552946
2010.242498	192.586977
2010.327987	166.777356
2010.413481	130.345931
2010.498981	118.341935
2010.584486	79.907367
2010.669997	76.029940
2010.755513	108.156439
2010.841035	114.851422
2010.926562	107.392279
2011.012094	85.390971
2011.097632	43.491948
2011.183176	0.087303
2011.268725	0.000000
2011.354279	0.000000
2011.439839	0.000000
2011.525404	0.000000
2011.610975	0.000000
2011.696551	0.000000
2011.782133	0.000000
2011.867720	18.890503
2011.953313	58.860538
2012.038911	84.693178
2012.124514	101.301249
2012.210123	102.632535
2012.295738	88.332516
2012.381357	72.839940
2012.466983	44.717133
2012.552614	17.424984
2012.638250	0.005368
2012.723892	7.903157
2012.809539	63.804720
2012.895192	128.868985
2012.980850	162.146446
2013.066513	148.691445
2013.152182	142.933617
2013.237857	110.877904
2013.323537	135.868740
2013.409223	156.014955
2013.494914	134.460752
2013.580610	79.709317
2013.666312	39.608966
2013.752019	16.831168
2013.837732	18.316519
2013.923451	41.262269
2014.009174	56.204985
2014.094904	51.358062
2014.180638	29.831649
2014.266379	0.044808
2014.352124	0.000000
2014.437875	0.000000
2014.523632	0.000000
2014.609394	0.000000
2014.695162	29.336107
2014.780935	48.368900
2014.866714	74.533923
2014.952498	79.356975
2015.038287	65.376570
2015.124082	38.297121
2015.209883	29.550530
2015.295689	45.652554
2015.381500	69.343195
2015.467317	116.378516
2015.553139	159.874369
2015.638967	172.813332
2015.724801	163.132909
2015.810639	137.696414
2015.896484	112.948473
2015.982334	91.208432
2016.068189	93.153021
2016.154050	104.817939
2016.239916	85.089524
2016.325788	72.691941
2016.411665	35.180493
2016.497548	18.350811
2016.583436	30.815337
2016.669330	47.972787
2016.755229	71.323858
2016.841133	107.722072
2016.927044	119.395786
2017.012959	99.418931
2017.098880	62.658352
2017.184807	83.994225
2017.270739	127.237899
2017.356677	154.803197
2017.442620	174.339477
2017.528568	149.180057
2017.614523	102.138621
2017.700482	82.934693
2017.786447	46.783431
2017.872418	0.060600
2017.958394	0.000000
2018.044375	42.232466
2018.130362	119.013076
2018.216355	160.067874
2018.302353	175.976240
2018.388357	149.879687
2018.474366	97.803160
2018.560380	46.141199
2018.646400	20.746924
2018.732426	28.101377
2018.818457	67.767545
2018.904493	130.221153
2018.990535	172.006747
2019.076583	175.704291
2019.162636	161.887807
2019.248695	178.943181
2019.334759	213.623556
2019.420828	216.636527
2019.506903	182.384069
2019.592984	116.918410
2019.679070	55.859929
2019.765161	0.091229
2019.851258	0.000000
2019.937361	0.000000
2020.023469	0.000000
2020.109583	0.000000
2020.195702	16.112854
2020.281826	55.809366
2020.367956	91.965726
2020.454092	108.664598
2020.540233	122.589274
2020.626380	109.046305
2020.712532	99.665791
2020.798690	66.109293
2020.884853	24.269354
2020.971021	0.039324
2021.057196	0.000000
2021.143375	0.000000
2021.229561	0.000000
2021.315751	62.656056
2021.401948	120.079237
2021.488149	142.118866
2021.574357	133.741404
2021.660569	114.751827
2021.746788	100.793569
2021.833011	136.210105
2021.919241	155.199071
2022.005476	165.929089
